#Mapping quality	mapping quality
0.0	65861.0
1.0	1716.0
2.0	2004.0
3.0	4446.0
4.0	1297.0
5.0	2084.0
6.0	1558.0
7.0	991.0
8.0	824.0
9.0	927.0
10.0	877.0
11.0	670.0
12.0	418.0
13.0	493.0
14.0	541.0
15.0	721.0
16.0	662.0
17.0	812.0
18.0	282.0
19.0	204.0
20.0	202.0
21.0	331.0
22.0	250.0
23.0	382.0
24.0	331.0
25.0	770.0
26.0	399.0
27.0	749.0
28.0	167.0
29.0	121.0
30.0	334.0
31.0	182.0
32.0	44.0
33.0	159.0
34.0	345.0
35.0	2.0
36.0	163.0
37.0	290.0
39.0	220.0
40.0	418.0
41.0	415.0
42.0	576.0
43.0	482.0
44.0	125.0
45.0	1936.0
46.0	52.0
47.0	100.0
48.0	77.0
49.0	147.0
50.0	551.0
51.0	73.0
52.0	258.0
53.0	447.0
54.0	557.0
55.0	401.0
56.0	716.0
57.0	1578.0
58.0	435.0
59.0	77287.0
60.0	174611.0
