#Mapping quality	mapping quality
0.0	20703.0
1.0	604.0
2.0	238.0
3.0	3863.0
4.0	770.0
5.0	1228.0
6.0	698.0
7.0	346.0
8.0	245.0
9.0	144.0
10.0	203.0
11.0	126.0
12.0	354.0
13.0	105.0
14.0	502.0
15.0	409.0
16.0	419.0
17.0	499.0
18.0	224.0
19.0	32.0
20.0	7.0
21.0	200.0
22.0	123.0
23.0	210.0
24.0	85.0
25.0	72.0
27.0	595.0
28.0	64.0
30.0	95.0
31.0	13.0
32.0	35.0
33.0	7.0
34.0	70.0
35.0	78.0
36.0	317.0
37.0	70.0
38.0	56.0
39.0	220.0
40.0	205.0
41.0	257.0
42.0	753.0
43.0	298.0
44.0	310.0
45.0	1547.0
46.0	34.0
47.0	256.0
48.0	7.0
49.0	14.0
50.0	112.0
51.0	157.0
52.0	74.0
53.0	632.0
54.0	316.0
55.0	354.0
56.0	701.0
57.0	1039.0
58.0	1030.0
59.0	38184.0
60.0	128106.0
