#Mapping quality	mapping quality
0.0	107401.0
1.0	3347.0
2.0	3429.0
3.0	5349.0
4.0	2387.0
5.0	3611.0
6.0	1889.0
7.0	1372.0
8.0	1515.0
9.0	1357.0
10.0	1221.0
11.0	1294.0
12.0	944.0
13.0	1153.0
14.0	1226.0
15.0	1105.0
16.0	1090.0
17.0	1622.0
18.0	1018.0
19.0	836.0
20.0	1102.0
21.0	1202.0
22.0	356.0
23.0	236.0
24.0	1115.0
25.0	1333.0
26.0	1151.0
27.0	890.0
28.0	522.0
29.0	140.0
30.0	908.0
31.0	233.0
32.0	170.0
33.0	393.0
34.0	377.0
35.0	206.0
36.0	483.0
37.0	353.0
38.0	92.0
39.0	265.0
40.0	1290.0
41.0	979.0
42.0	501.0
43.0	503.0
44.0	536.0
45.0	2463.0
46.0	831.0
47.0	385.0
48.0	513.0
49.0	487.0
50.0	572.0
51.0	640.0
52.0	253.0
53.0	791.0
54.0	953.0
55.0	1050.0
56.0	1136.0
57.0	1200.0
58.0	2714.0
59.0	98777.0
60.0	341048.0
