#Mapping quality	mapping quality
0.0	132679.0
1.0	4503.0
2.0	3590.0
3.0	6597.0
4.0	2659.0
5.0	3984.0
6.0	1846.0
7.0	1930.0
8.0	2043.0
9.0	2240.0
10.0	1423.0
11.0	1217.0
12.0	1009.0
13.0	1402.0
14.0	814.0
15.0	900.0
16.0	1790.0
17.0	1163.0
18.0	931.0
19.0	609.0
20.0	604.0
21.0	466.0
22.0	705.0
23.0	343.0
24.0	971.0
25.0	874.0
26.0	1066.0
27.0	434.0
28.0	350.0
29.0	442.0
30.0	437.0
31.0	255.0
32.0	278.0
33.0	411.0
34.0	54.0
35.0	193.0
36.0	212.0
37.0	685.0
38.0	460.0
39.0	261.0
40.0	812.0
41.0	315.0
42.0	968.0
43.0	591.0
44.0	476.0
45.0	2377.0
46.0	407.0
47.0	256.0
48.0	509.0
49.0	206.0
50.0	266.0
51.0	416.0
52.0	319.0
53.0	762.0
54.0	862.0
55.0	1027.0
56.0	744.0
57.0	1106.0
58.0	1597.0
59.0	99726.0
60.0	297097.0
