#Mapping quality	mapping quality
0.0	87641.0
1.0	2570.0
2.0	2003.0
3.0	4937.0
4.0	1684.0
5.0	2861.0
6.0	1963.0
7.0	1265.0
8.0	1434.0
9.0	1049.0
10.0	1104.0
11.0	1062.0
12.0	642.0
13.0	746.0
14.0	1265.0
15.0	805.0
16.0	826.0
17.0	780.0
18.0	499.0
19.0	417.0
20.0	377.0
21.0	211.0
22.0	549.0
23.0	224.0
24.0	911.0
25.0	793.0
26.0	645.0
27.0	120.0
28.0	294.0
29.0	243.0
30.0	390.0
31.0	532.0
32.0	126.0
33.0	792.0
34.0	313.0
35.0	125.0
36.0	161.0
37.0	247.0
38.0	57.0
39.0	758.0
40.0	647.0
41.0	186.0
42.0	759.0
43.0	463.0
44.0	269.0
45.0	2371.0
46.0	58.0
47.0	559.0
48.0	177.0
49.0	30.0
50.0	245.0
51.0	244.0
52.0	312.0
53.0	725.0
54.0	726.0
55.0	787.0
56.0	269.0
57.0	1194.0
58.0	1185.0
59.0	90120.0
60.0	226566.0
