#Mapping quality	mapping quality
0.0	113899.0
1.0	2715.0
2.0	2384.0
3.0	5296.0
4.0	2822.0
5.0	3441.0
6.0	2387.0
7.0	2159.0
8.0	1322.0
9.0	2249.0
10.0	1537.0
11.0	1274.0
12.0	1170.0
13.0	1243.0
14.0	507.0
15.0	791.0
16.0	1347.0
17.0	769.0
18.0	672.0
19.0	286.0
20.0	592.0
21.0	422.0
22.0	743.0
23.0	422.0
24.0	1783.0
25.0	536.0
26.0	1462.0
27.0	881.0
28.0	424.0
29.0	542.0
30.0	1231.0
31.0	459.0
32.0	73.0
33.0	401.0
34.0	332.0
35.0	610.0
36.0	298.0
37.0	816.0
38.0	585.0
39.0	630.0
40.0	1389.0
41.0	1191.0
42.0	1251.0
43.0	937.0
44.0	1003.0
45.0	2011.0
46.0	938.0
47.0	634.0
48.0	1009.0
49.0	200.0
50.0	720.0
51.0	113.0
52.0	620.0
53.0	315.0
54.0	993.0
55.0	1750.0
56.0	844.0
57.0	1797.0
58.0	2395.0
59.0	98716.0
60.0	548126.0
