#Read position (bp)	Clipping profile
0.0	1.8445631363388388
1.0	1.8334416116751258
2.0	1.8251715546241474
3.0	1.8208482971972555
4.0	1.816484991067938
5.0	1.8107860607127115
6.0	1.8028984687699017
7.0	1.7934189409056567
8.0	1.7825597352428342
9.0	1.7740433786719352
10.0	1.7700825620019993
11.0	1.6171325625666861
12.0	1.5358837575198447
13.0	1.4684537572451106
14.0	1.4124796882993471
15.0	1.3420440329075383
16.0	1.2493493087073326
17.0	1.1358012251538852
18.0	1.0928069406644032
19.0	1.0665009504758547
20.0	1.0155389766387106
21.0	0.9658325296226236
22.0	0.9021891341622721
23.0	0.873362078156004
24.0	0.8085973190277232
25.0	0.7441269178622739
26.0	0.706683383529042
27.0	0.6865288740331342
28.0	0.6138364742596176
29.0	0.535765533750283
30.0	0.48671989032422547
31.0	0.4552115736905336
32.0	0.39505441777636946
33.0	0.32914226332358254
34.0	0.2666682899740717
35.0	0.1972759032804613
36.0	0.1913066441838591
37.0	0.18839910838772814
38.0	0.18638866352594063
39.0	0.18475267403183665
40.0	0.18363731766927124
41.0	0.18262208306277097
42.0	0.1817890700523092
43.0	0.1809280229501492
44.0	0.17989276399243592
45.0	0.17871733457623146
46.0	0.17795240435989398
47.0	0.17717345709770738
48.0	0.17531519730513884
49.0	0.1747745398223872
50.0	0.17417981659136042
51.0	0.17308448458000805
52.0	0.15680668947894155
53.0	0.1448161079725833
54.0	0.14433752597859204
55.0	0.12762920732644556
56.0	0.12676015048380035
57.0	0.12600122757282678
58.0	0.12494594426390045
59.0	0.12433920642214585
60.0	0.11189206970813065
61.0	0.11129734647710386
62.0	0.11091087649869252
63.0	0.11050838703931076
64.0	0.09425061628945727
65.0	0.09370194906622045
66.0	0.0933995813629038
67.0	0.09306317226252502
68.0	0.09269071932996278
69.0	0.09240437110761655
70.0	0.08123879287123485
71.0	0.060443504136510326
72.0	0.059786705416723165
73.0	0.059183972445211175
74.0	0.05862329061124652
75.0	0.05827486690013992
76.0	0.05802055763973453
77.0	0.0576521095774149
78.0	0.057385785706281695
79.0	0.05717152514830235
80.0	0.05693323536886737
81.0	0.056819096566953144
82.0	0.05659482383336728
83.0	0.056380563275387936
84.0	0.05598608355649139
85.0	0.05570374020438775
86.0	0.05542740415764803
87.0	0.05524117769136692
88.0	0.0549688465148698
89.0	0.05475859082713306
90.0	0.054540325398911106
91.0	0.05432606484093176
92.0	0.054047726359070736
93.0	0.05390955833570088
94.0	0.053711317258691944
95.0	0.053442990952437444
96.0	0.05316865734081903
97.0	0.05298243087453791
98.0	0.05277017275167986
99.0	0.05142253391504341
100.0	0.05116622221951671
101.0	0.05089188860789829
102.0	0.05189711103879205
103.0	0.05149261914428898
104.0	0.051396502258466474
105.0	0.051804999023212145
106.0	0.05170487726714703
107.0	0.05171288700763225
108.0	0.05134443894531262
109.0	0.051072107768815496
110.0	0.05084783503522965
111.0	0.05102805419614685
112.0	0.05077774980598406
113.0	0.050497408889001734
114.0	0.05065359882846332
115.0	0.05105408585272378
116.0	0.05106209559320899
117.0	0.051076112639058105
118.0	0.051026051761025544
119.0	0.05119225387609364
120.0	0.05110214429563504
121.0	0.051252326929732715
122.0	0.051198261181457545
123.0	0.05109613699027113
124.0	0.05103406150151076
125.0	0.050992010363963405
126.0	0.05094995922641606
127.0	0.05092392756983913
128.0	0.050990007928842104
129.0	0.05097198601275039
130.0	0.051084122379543316
131.0	0.05115220517366759
132.0	0.05113418325757588
133.0	0.05111616134148415
134.0	0.0510681028985729
135.0	0.05101804202054034
136.0	0.05113218082245457
137.0	0.05121227822730666
138.0	0.050917920264475225
139.0	0.05090991052399002
140.0	0.05096798114250778
141.0	0.05111415890636285
142.0	0.051204268486821455
143.0	0.05114619786830369
144.0	0.05118824900585103
145.0	0.051202266051700154
146.0	0.05119225387609364
147.0	0.05108612481466462
148.0	0.05120627092194275
149.0	0.05138248521261736
150.0	0.051524658106229825
151.0	0.05163479203790145
152.0	0.051811006328576055
153.0	0.051889101298306844
154.0	0.05197120113828024
155.0	0.0531446281193634
156.0	0.05325876692127763
157.0	0.05335688624222144
158.0	0.05353710540313864
159.0	0.053679278296751114
160.0	0.0538354682362127
161.0	0.0540196922673725
162.0	0.05422594308486664
163.0	0.054452218253573804
164.0	0.054624427674005806
165.0	0.05484069066710646
166.0	0.05512103158408877
167.0	0.0553973676308285
168.0	0.05568571828829603
169.0	0.05598608355649139
170.0	0.05610022235840561
171.0	0.05614227349595295
172.0	0.055857927708728036
173.0	0.0556576841965978
174.0	0.05552952834883445
175.0	0.05582588874678719
176.0	0.056202346549592025
177.0	0.05686715500986439
178.0	0.05679306491037621
179.0	0.05751794642428765
180.0	0.07766644861483152
181.0	0.08818323787191128
182.0	0.08717401057077491
183.0	0.087426317396059
184.0	0.0878528360768964
185.0	0.08748038314433416
186.0	0.08821527683385212
187.0	0.10443099644615825
188.0	0.10501770993669982
189.0	0.10562244534333312
190.0	0.10636134390309368
191.0	0.11898669734290476
192.0	0.1196995642460884
193.0	0.12086898635692894
194.0	0.12166395310008594
195.0	0.12278531676801524
196.0	0.1394656013284635
197.0	0.14076918659243132
198.0	0.15301607979431628
199.0	0.1687091638399625
200.0	0.16941802587290353
201.0	0.17013089277608714
202.0	0.1707876914958743
203.0	0.17244370534119133
204.0	0.17326270130580398
205.0	0.17394553168216803
206.0	0.17491270784575705
207.0	0.1761402005751154
208.0	0.17767606831315427
209.0	0.1792599944941044
210.0	0.18069173560583554
211.0	0.18306862609482139
212.0	0.18709352068863905
213.0	0.19175919452127344
