#Duplication rate	Coverage
1.0	15244.0
2.0	3628.0
3.0	1287.0
4.0	747.0
5.0	467.0
6.0	339.0
7.0	240.0
8.0	202.0
9.0	155.0
10.0	145.0
11.0	110.0
12.0	107.0
13.0	82.0
14.0	99.0
15.0	63.0
16.0	74.0
17.0	59.0
18.0	70.0
19.0	39.0
20.0	34.0
21.0	41.0
22.0	41.0
23.0	34.0
24.0	41.0
25.0	28.0
26.0	26.0
27.0	24.0
28.0	26.0
29.0	18.0
30.0	23.0
31.0	24.0
32.0	30.0
33.0	16.0
34.0	15.0
35.0	25.0
36.0	14.0
37.0	14.0
38.0	15.0
39.0	17.0
40.0	11.0
41.0	23.0
42.0	11.0
43.0	14.0
44.0	17.0
45.0	18.0
46.0	16.0
47.0	12.0
48.0	14.0
49.0	11.0
50.0	1395.0
