#Position (bp)	mapping quality
4011823.0	59.97866142541738
1.2035468E7	59.990638881838564
2.0059113E7	59.98481185282507
2.8082758E7	57.77492088607595
3.6106403E7	58.15642458100559
4.4130048E7	56.8270944741533
5.2153693E7	57.32600732600733
6.0177338E7	4.815950920245399
6.8200983E7	43.38297872340426
7.6224628E7	0.0
8.4248273E7	59.98378399851476
9.2271918E7	0.0
1.00295563E8	14.93939393939394
1.08319208E8	52.03272727272727
1.16342853E8	44.55223880597015
1.24366498E8	0.0
1.32390143E8	0.0
1.40413788E8	9.0056740007583
1.48437433E8	0.011885477259897406
1.56461078E8	52.64944649446495
1.64484723E8	59.98783917767751
1.72508368E8	0.8297872340425532
1.80532013E8	57.61379971250599
1.88555658E8	37.985611510791365
1.96579303E8	0.3862928348909657
2.04602948E8	55.546975546975546
2.12626593E8	8.557077625570777
2.20650238E8	49.79020979020979
2.28673883E8	54.12275263484191
2.36697528E8	0.0
2.44721173E8	11.977099236641221
2.48844709E8	0.0
2.528565315E8	56.891364902506965
2.60768463E8	58.72873769024172
2.68792108E8	42.35748792270532
2.76815753E8	58.35717858929465
2.84839398E8	2.6555827403684718
2.92863043E8	41.25
3.00886688E8	54.54545454545455
3.08910333E8	59.91011235955056
3.16933978E8	48.06582768635044
3.24957623E8	59.20096852300242
3.32981268E8	33.1393286890437
3.41004913E8	36.05905499013902
3.49028558E8	49.7583081570997
3.57052203E8	21.615598885793872
3.65075848E8	44.24844720496895
3.73099493E8	59.97394696128281
3.81123138E8	47.96335877862595
3.89146783E8	46.95276497695853
3.97170428E8	45.993506493506494
4.05194073E8	24.997918112421928
4.13217718E8	0.0
4.21241363E8	58.0945179584121
4.29265008E8	0.0
4.37288653E8	36.21730382293762
4.45312298E8	0.0
4.53335943E8	48.32610508757298
4.61359588E8	0.0
4.69383233E8	0.48484848484848486
4.77406878E8	53.180839986115934
4.85430523E8	58.80511288180611
4.902961485E8	59.97852925389157
4.94307971E8	0.0
5.01477813E8	53.950538998097656
5.09501458E8	46.666666666666664
5.17525103E8	2.816666666666667
5.25548748E8	56.079561042524006
5.33572393E8	0.0
5.41596038E8	59.98281805016289
5.49619683E8	1.5843621399176955
5.57643328E8	0.5951219512195122
5.65666973E8	0.0
5.73690618E8	0.21660649819494585
5.81714263E8	6.069767441860465
5.89737908E8	45.88309636650869
5.97761553E8	5.0
6.05785198E8	49.12751677852349
