#Duplication rate	Coverage
1.0	1386.0
2.0	292.0
3.0	86.0
4.0	58.0
5.0	24.0
6.0	29.0
7.0	26.0
8.0	22.0
9.0	15.0
10.0	12.0
11.0	7.0
12.0	17.0
13.0	9.0
14.0	9.0
15.0	13.0
16.0	19.0
17.0	7.0
18.0	8.0
19.0	14.0
20.0	13.0
21.0	14.0
22.0	20.0
23.0	13.0
24.0	15.0
25.0	12.0
26.0	9.0
27.0	15.0
28.0	16.0
29.0	23.0
30.0	16.0
31.0	29.0
32.0	19.0
33.0	21.0
34.0	17.0
35.0	19.0
36.0	20.0
37.0	25.0
38.0	17.0
39.0	14.0
40.0	19.0
41.0	18.0
42.0	12.0
43.0	16.0
44.0	15.0
45.0	16.0
46.0	14.0
47.0	14.0
48.0	10.0
49.0	6.0
50.0	473.0
