#Mapping quality	mapping quality
0.0	38023.0
1.0	1046.0
2.0	1137.0
3.0	3266.0
4.0	842.0
5.0	1515.0
6.0	1016.0
7.0	717.0
8.0	345.0
9.0	314.0
10.0	488.0
11.0	696.0
12.0	308.0
13.0	352.0
14.0	300.0
15.0	474.0
16.0	742.0
17.0	702.0
18.0	381.0
19.0	52.0
20.0	249.0
21.0	203.0
22.0	162.0
23.0	395.0
24.0	430.0
25.0	644.0
26.0	367.0
27.0	378.0
28.0	31.0
29.0	45.0
30.0	40.0
31.0	99.0
32.0	83.0
33.0	50.0
34.0	357.0
35.0	35.0
36.0	65.0
37.0	66.0
38.0	8.0
39.0	19.0
40.0	861.0
41.0	182.0
42.0	450.0
43.0	478.0
44.0	392.0
45.0	1543.0
46.0	26.0
47.0	31.0
48.0	64.0
49.0	167.0
50.0	38.0
51.0	177.0
52.0	179.0
53.0	19.0
54.0	182.0
55.0	170.0
56.0	576.0
57.0	466.0
58.0	1604.0
59.0	34770.0
60.0	148557.0
