#Mapping quality	mapping quality
0.0	37764.0
1.0	1702.0
2.0	1359.0
3.0	3903.0
4.0	916.0
5.0	2206.0
6.0	643.0
7.0	523.0
8.0	853.0
9.0	715.0
10.0	256.0
11.0	352.0
12.0	441.0
13.0	186.0
14.0	488.0
15.0	456.0
16.0	331.0
17.0	1410.0
18.0	199.0
19.0	279.0
20.0	177.0
21.0	137.0
22.0	190.0
23.0	126.0
24.0	195.0
25.0	657.0
26.0	232.0
27.0	358.0
28.0	87.0
29.0	98.0
30.0	159.0
31.0	36.0
32.0	263.0
33.0	214.0
34.0	136.0
35.0	37.0
36.0	71.0
38.0	96.0
39.0	41.0
40.0	251.0
41.0	529.0
42.0	783.0
43.0	369.0
44.0	327.0
45.0	2088.0
46.0	256.0
47.0	294.0
48.0	33.0
49.0	4.0
50.0	385.0
51.0	225.0
52.0	214.0
53.0	267.0
54.0	571.0
55.0	426.0
56.0	830.0
57.0	1098.0
58.0	522.0
59.0	52934.0
60.0	146881.0
