Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0010---TSP200X.BS_034_R1	NS.2150.TSP0010---TSP200X.BS_034_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1882354.0	0.0	251.0	48.0	5.315434856680401	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0010---TSP200X.BS_034_R2	NS.2150.TSP0010---TSP200X.BS_034_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1882354.0	0.0	251.0	48.0	6.902324330494339	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0011---TSP200X.BS_036_R1	NS.2150.TSP0011---TSP200X.BS_036_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	685532.0	0.0	251.0	46.0	7.123372796601764	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0011---TSP200X.BS_036_R2	NS.2150.TSP0011---TSP200X.BS_036_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	685532.0	0.0	251.0	46.0	7.234527345185929	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0012---TSP200X.BS_038_R1	NS.2150.TSP0012---TSP200X.BS_038_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1287867.0	0.0	251.0	47.0	6.662489216666007	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0012---TSP200X.BS_038_R2	NS.2150.TSP0012---TSP200X.BS_038_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1287867.0	0.0	251.0	47.0	6.679727021501444	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0013---TSP200X.BS_040_R1	NS.2150.TSP0013---TSP200X.BS_040_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1234600.0	0.0	251.0	47.0	6.395836708245585	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0013---TSP200X.BS_040_R2	NS.2150.TSP0013---TSP200X.BS_040_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1234600.0	0.0	251.0	47.0	7.182488255305362	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0014---TSP200X.BS_042_R1	NS.2150.TSP0014---TSP200X.BS_042_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	433484.0	0.0	251.0	48.0	8.87760563250316	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
NS.2150.TSP0014---TSP200X.BS_042_R2	NS.2150.TSP0014---TSP200X.BS_042_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	433484.0	0.0	251.0	48.0	8.990643253268864	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
