#Duplication rate	Coverage
1.0	23858.0
2.0	6889.0
3.0	2625.0
4.0	1588.0
5.0	898.0
6.0	603.0
7.0	457.0
8.0	390.0
9.0	251.0
10.0	268.0
11.0	189.0
12.0	171.0
13.0	136.0
14.0	131.0
15.0	99.0
16.0	124.0
17.0	93.0
18.0	86.0
19.0	89.0
20.0	73.0
21.0	59.0
22.0	49.0
23.0	48.0
24.0	58.0
25.0	40.0
26.0	43.0
27.0	48.0
28.0	49.0
29.0	47.0
30.0	35.0
31.0	38.0
32.0	29.0
33.0	35.0
34.0	35.0
35.0	22.0
36.0	32.0
37.0	21.0
38.0	29.0
39.0	31.0
40.0	26.0
41.0	24.0
42.0	17.0
43.0	24.0
44.0	24.0
45.0	25.0
46.0	27.0
47.0	18.0
48.0	18.0
49.0	17.0
50.0	1880.0
