#GC Content (%)	Sample	HUMAN (hg19)
1.0	0.0	0.0
2.0	2.5506300056113857E-4	3.0E-6
3.0	4.0810080089782175E-4	3.0E-6
4.0	2.5506300056113857E-4	1.0E-5
5.0	2.5506300056113857E-4	8.0E-6
6.0	1.5303780033668315E-4	1.2000000000000002E-5
7.0	1.0202520022445544E-4	6.999999999999999E-6
8.0	5.101260011222772E-5	9.999999999999999E-6
9.0	2.0405040044891087E-4	1.6E-5
10.0	1.5303780033668315E-4	1.5000000000000002E-5
11.0	5.101260011222772E-5	1.9999999999999998E-5
12.0	5.101260011222772E-5	1.6E-5
13.0	5.101260011222772E-5	1.6E-5
14.0	5.101260011222772E-5	2.4999999999999998E-5
15.0	0.0	2.2000000000000003E-5
16.0	1.5303780033668315E-4	2.6999999999999996E-5
17.0	1.0202520022445544E-4	3.3E-5
18.0	0.0	3.7000000000000005E-5
19.0	1.0202520022445544E-4	4.7000000000000004E-5
20.0	5.101260011222772E-5	5.4999999999999995E-5
21.0	5.101260011222772E-5	6.400000000000001E-5
22.0	5.101260011222772E-5	9.3E-5
23.0	0.0	1.66E-4
24.0	0.0	3.03E-4
25.0	5.101260011222772E-5	7.059999999999999E-4
26.0	5.611386012345049E-4	0.0016020000000000001
27.0	0.0013263276029179206	0.0033690000000000005
28.0	0.0015303780033668318	0.006167999999999999
29.0	7.14176401571188E-4	0.010352
30.0	0.0023465796051624754	0.015647
31.0	0.006172524613579554	0.022148
32.0	0.01117175942457787	0.028808
33.0	0.02122124164668673	0.035106000000000005
34.0	0.013059225628730296	0.041161
35.0	0.018874662041524253	0.047408
36.0	0.019996939243993265	0.052698999999999996
37.0	0.024894148854767126	0.057517000000000006
38.0	0.029026169463857575	0.061487999999999994
39.0	0.03759628628271183	0.063321
40.0	0.044738050298423704	0.060248
41.0	0.036678059480691735	0.055508
42.0	0.036320971279906133	0.051446000000000006
43.0	0.045809314900780496	0.048194
44.0	0.030964648268122223	0.044423
45.0	0.019078712441973164	0.040655000000000004
46.0	0.015150742233331632	0.03652
47.0	0.02739376626026628	0.032315
48.0	0.018925674641636483	0.028137999999999996
49.0	0.01724225883793297	0.02458
50.0	0.02412895985308371	0.020810000000000002
51.0	0.02683262765903178	0.017532
52.0	0.03581084527878386	0.014506999999999997
53.0	0.031219711268683364	0.012007
54.0	0.017446309238381877	0.010018
55.0	0.021578329847472325	0.008414999999999999
56.0	0.025812375656787227	0.007258
57.0	0.04234045809314901	0.006174999999999999
58.0	0.05167576391368668	0.005363000000000001
59.0	0.034127429475080344	0.0046159999999999994
60.0	0.03458654287609039	0.003946
61.0	0.03836147528439524	0.0034579999999999993
62.0	0.032699076671937964	0.002915
63.0	0.013671376830077027	0.0024610000000000005
64.0	0.02397592205274703	0.0019950000000000002
65.0	0.017548334438606334	0.0016779999999999998
66.0	0.009947457021884406	0.0013500000000000003
67.0	0.00785594041728307	0.001069
68.0	0.009896444421772177	8.119999999999999E-4
69.0	0.006121512013467326	6.4E-4
70.0	0.005152272611335	5.05E-4
71.0	0.002754680406060297	4.0299999999999993E-4
72.0	5.611386012345049E-4	3.2E-4
73.0	5.611386012345049E-4	2.79E-4
74.0	1.5303780033668315E-4	2.0700000000000002E-4
75.0	0.0	2.0099999999999998E-4
76.0	0.0	1.54E-4
77.0	0.0	1.12E-4
78.0	0.0	7.699999999999999E-5
79.0	0.0	6.3E-5
80.0	5.101260011222772E-5	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	0.0	1.6E-5
83.0	0.0	9.0E-6
84.0	0.0	4.0E-6
85.0	0.0	0.0
86.0	0.0	1.0E-6
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	5.101260011222772E-5	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	0.0	0.0
95.0	0.0	0.0
96.0	0.0	0.0
97.0	5.101260011222772E-5	0.0
98.0	1.5303780033668315E-4	0.0
99.0	4.591134010100495E-4	0.0
100.0	0.0010202520022445543	0.0
