#Duplication rate	Coverage
1.0	3767.0
2.0	814.0
3.0	285.0
4.0	180.0
5.0	123.0
6.0	77.0
7.0	66.0
8.0	52.0
9.0	43.0
10.0	40.0
11.0	35.0
12.0	30.0
13.0	22.0
14.0	20.0
15.0	20.0
16.0	17.0
17.0	11.0
18.0	15.0
19.0	11.0
20.0	13.0
21.0	15.0
22.0	11.0
23.0	9.0
24.0	4.0
25.0	6.0
26.0	11.0
27.0	7.0
28.0	10.0
29.0	7.0
30.0	11.0
31.0	9.0
32.0	4.0
33.0	2.0
34.0	5.0
35.0	4.0
36.0	6.0
37.0	5.0
38.0	6.0
39.0	7.0
40.0	5.0
41.0	6.0
42.0	5.0
43.0	8.0
44.0	10.0
45.0	8.0
46.0	10.0
47.0	9.0
48.0	9.0
49.0	11.0
50.0	877.0
