#Mapping quality	mapping quality
0.0	135890.0
1.0	4173.0
2.0	4039.0
3.0	6382.0
4.0	2430.0
5.0	4636.0
6.0	2304.0
7.0	1850.0
8.0	2258.0
9.0	1633.0
10.0	1181.0
11.0	891.0
12.0	1244.0
13.0	934.0
14.0	1128.0
15.0	1045.0
16.0	874.0
17.0	1934.0
18.0	985.0
19.0	526.0
20.0	661.0
21.0	483.0
22.0	515.0
23.0	634.0
24.0	668.0
25.0	336.0
26.0	910.0
27.0	1083.0
28.0	617.0
29.0	535.0
30.0	893.0
31.0	824.0
32.0	470.0
33.0	318.0
34.0	285.0
35.0	341.0
36.0	365.0
37.0	254.0
38.0	385.0
39.0	220.0
40.0	790.0
41.0	825.0
42.0	556.0
43.0	657.0
44.0	599.0
45.0	1605.0
46.0	334.0
47.0	9.0
48.0	635.0
49.0	212.0
50.0	320.0
51.0	565.0
52.0	713.0
53.0	608.0
54.0	1035.0
55.0	302.0
56.0	867.0
57.0	1253.0
58.0	1480.0
59.0	105150.0
60.0	200889.0
