#Mapping quality	mapping quality
0.0	36372.0
1.0	598.0
2.0	846.0
3.0	3676.0
4.0	689.0
5.0	1274.0
6.0	765.0
7.0	665.0
8.0	304.0
9.0	580.0
10.0	428.0
11.0	642.0
12.0	493.0
13.0	141.0
14.0	385.0
15.0	644.0
16.0	453.0
17.0	1107.0
18.0	167.0
19.0	153.0
20.0	64.0
21.0	235.0
22.0	539.0
23.0	197.0
24.0	368.0
25.0	131.0
26.0	390.0
27.0	379.0
28.0	350.0
29.0	254.0
30.0	250.0
31.0	332.0
32.0	53.0
33.0	111.0
34.0	71.0
35.0	134.0
36.0	22.0
37.0	66.0
38.0	161.0
39.0	60.0
40.0	450.0
41.0	302.0
42.0	499.0
43.0	493.0
44.0	830.0
45.0	1762.0
46.0	403.0
47.0	207.0
48.0	215.0
49.0	55.0
50.0	255.0
51.0	90.0
52.0	260.0
53.0	217.0
54.0	96.0
55.0	358.0
56.0	872.0
57.0	1311.0
58.0	1796.0
59.0	35219.0
60.0	174174.0
