#Mapping quality	mapping quality
0.0	53651.0
1.0	1878.0
2.0	1706.0
3.0	4124.0
4.0	1378.0
5.0	2121.0
6.0	1258.0
7.0	784.0
8.0	847.0
9.0	779.0
10.0	767.0
11.0	402.0
12.0	520.0
13.0	378.0
14.0	520.0
15.0	288.0
16.0	703.0
17.0	1023.0
18.0	463.0
19.0	151.0
20.0	122.0
21.0	164.0
22.0	155.0
23.0	107.0
24.0	250.0
25.0	51.0
26.0	747.0
27.0	424.0
28.0	112.0
29.0	141.0
30.0	119.0
31.0	9.0
32.0	47.0
33.0	128.0
34.0	111.0
36.0	89.0
37.0	270.0
38.0	26.0
39.0	9.0
40.0	219.0
41.0	274.0
42.0	1045.0
43.0	264.0
44.0	161.0
45.0	2008.0
46.0	24.0
47.0	23.0
48.0	223.0
49.0	326.0
50.0	343.0
51.0	78.0
52.0	457.0
53.0	551.0
54.0	781.0
55.0	359.0
56.0	906.0
57.0	461.0
58.0	726.0
59.0	64488.0
60.0	144963.0
