#Mapping quality	mapping quality
0.0	246301.0
1.0	7926.0
2.0	7384.0
3.0	9681.0
4.0	5920.0
5.0	6932.0
6.0	4558.0
7.0	3513.0
8.0	3707.0
9.0	2841.0
10.0	2447.0
11.0	1933.0
12.0	2272.0
13.0	2075.0
14.0	1483.0
15.0	1727.0
16.0	1433.0
17.0	2218.0
18.0	1797.0
19.0	792.0
20.0	1616.0
21.0	1288.0
22.0	1114.0
23.0	985.0
24.0	1237.0
25.0	2132.0
26.0	1492.0
27.0	960.0
28.0	642.0
29.0	624.0
30.0	1026.0
31.0	820.0
32.0	466.0
33.0	440.0
34.0	610.0
35.0	438.0
36.0	597.0
37.0	658.0
38.0	291.0
39.0	253.0
40.0	2456.0
41.0	916.0
42.0	1088.0
43.0	963.0
44.0	896.0
45.0	2411.0
46.0	811.0
47.0	972.0
48.0	475.0
49.0	690.0
50.0	875.0
51.0	1171.0
52.0	710.0
53.0	630.0
54.0	1904.0
55.0	649.0
56.0	2311.0
57.0	2131.0
58.0	2996.0
59.0	123962.0
60.0	418148.0
