#Insert size (bp)	insert size
1.0	1072.0
2.0	178.0
3.0	235.0
4.0	68.0
5.0	1088.0
6.0	43.0
7.0	66.0
8.0	52.0
9.0	19.0
10.0	40.0
11.0	25.0
12.0	22.0
13.0	30.0
14.0	21.0
15.0	12.0
16.0	17.0
17.0	19.0
18.0	11.0
19.0	8.0
20.0	79.0
21.0	34.0
22.0	125.0
23.0	25.0
24.0	41.0
25.0	7.0
26.0	9.0
27.0	8.0
28.0	15.0
29.0	21.0
30.0	19.0
31.0	17.0
32.0	16.0
33.0	30.0
34.0	21.0
35.0	13.0
36.0	5.0
37.0	23.0
38.0	12.0
39.0	9.0
40.0	15.0
41.0	16.0
42.0	14.0
43.0	21.0
44.0	23.0
45.0	31.0
46.0	21.0
47.0	118.0
48.0	48.0
49.0	30.0
50.0	19.0
51.0	23.0
52.0	20.0
53.0	30.0
54.0	21.0
55.0	34.0
56.0	33.0
57.0	30.0
58.0	44.0
59.0	35.0
60.0	28.0
61.0	28.0
62.0	28.0
63.0	33.0
64.0	45.0
65.0	34.0
66.0	25.0
67.0	41.0
68.0	51.0
69.0	39.0
70.0	14.0
71.0	21.0
72.0	17.0
73.0	20.0
74.0	26.0
75.0	15.0
76.0	21.0
77.0	26.0
78.0	28.0
79.0	24.0
80.0	14.0
81.0	12.0
82.0	14.0
83.0	18.0
84.0	19.0
85.0	16.0
86.0	15.0
87.0	34.0
88.0	21.0
89.0	20.0
90.0	19.0
91.0	22.0
92.0	28.0
93.0	20.0
94.0	27.0
95.0	79.0
96.0	48.0
97.0	75.0
98.0	72.0
99.0	455.0
100.0	279.0
101.0	104.0
102.0	50.0
103.0	142.0
104.0	240.0
105.0	81.0
106.0	54.0
107.0	62.0
108.0	78.0
109.0	31.0
110.0	42.0
111.0	54.0
112.0	42.0
113.0	49.0
114.0	290.0
115.0	56.0
116.0	98.0
117.0	54.0
118.0	44.0
119.0	37.0
120.0	49.0
121.0	53.0
122.0	75.0
123.0	50.0
124.0	37.0
125.0	36.0
126.0	58.0
127.0	39.0
128.0	75.0
129.0	52.0
130.0	45.0
131.0	100.0
132.0	161.0
133.0	44.0
134.0	55.0
135.0	77.0
136.0	285.0
137.0	59.0
138.0	164.0
139.0	144.0
140.0	66.0
141.0	70.0
142.0	28.0
143.0	71.0
144.0	107.0
145.0	20.0
146.0	35.0
147.0	53.0
148.0	85.0
149.0	53.0
150.0	101.0
151.0	102.0
152.0	64.0
153.0	52.0
154.0	46.0
155.0	121.0
156.0	108.0
157.0	26.0
158.0	68.0
159.0	130.0
160.0	66.0
161.0	71.0
162.0	35.0
163.0	67.0
164.0	54.0
165.0	95.0
166.0	45.0
167.0	50.0
168.0	106.0
169.0	416.0
170.0	25.0
171.0	64.0
172.0	46.0
173.0	78.0
174.0	147.0
175.0	115.0
176.0	69.0
177.0	57.0
178.0	40.0
179.0	83.0
180.0	10110.0
181.0	6240.0
182.0	46.0
183.0	31.0
184.0	89.0
185.0	138.0
186.0	85.0
187.0	7896.0
188.0	84.0
189.0	50.0
190.0	119.0
191.0	6654.0
192.0	53.0
193.0	89.0
194.0	55.0
195.0	80.0
196.0	10174.0
197.0	81.0
198.0	6516.0
199.0	7120.0
