Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
NS.2150.TSP0150---TSP200X.BS_202_R1										3.0948041676696123	4.9463376240309636	23.81203458539176	11.401487798448013	32.64292455173099	12.808668508266182	0.0
NS.2150.TSP0150---TSP200X.BS_202_R2										3.292352252418808	5.005931472237628	23.244823442410798	12.295094595427374	32.33769335058852	12.119846552042892	0.0
NS.2150.TSP0151---TSP200X.BS_233_R1										3.612168609173958	0.42498800992250624	1.6938709477553886	3.320620409062433	63.130224862716474	16.5830229681695	1.1230514689852837
NS.2150.TSP0151---TSP200X.BS_233_R2										4.058596711889876	0.32166169159400404	1.4208553429046455	3.032108997691774	61.81610075576061	15.884485915895574	3.473253281728865
NS.2150.TSP0152---TSP200X.BS_238_R1										1.7905079938949808	0.45408787331002454	6.237078250327442	18.892003940118855	58.13096024160289	2.728857040797549	0.0
NS.2150.TSP0152---TSP200X.BS_238_R2										1.9314719284905444	0.4399593000038293	6.394521911805734	19.47978949786927	55.34570379811926	1.4863157203735209	1.4480227132236694
NS.2150.TSP0153---TSP200X.BS_245_R1										2.4266417100784308	0.43489983776377195	3.3555200347478156	8.364414040105386	68.36780047980697	4.556601854995964	1.2692707283698066
NS.2150.TSP0153---TSP200X.BS_245_R2										2.710427836966663	0.3405870215590843	2.8528332374390004	8.43805272427924	67.3762847292676	5.316252097398993	1.5215234135047015
NS.2150.TSP0154---TSP200X.BS_248_R1										5.317283442880789	0.6827068130677032	1.0529699839772246	0.8990663987207109	25.366000003827637	41.31025325089926	17.683993775146718
NS.2150.TSP0154---TSP200X.BS_248_R2										6.184959348732959	0.6878768553321392	0.8423957368162366	0.8826393210605392	25.014120875159936	40.45669668564557	17.564278005896693
NS.2150.TSP0155---TSP200X.BS_253_R1										2.548178805198829	0.5951320456142486	4.552129384229776	14.708990610458523	61.47444019631168	2.6143537704791044	1.2122855261629033
NS.2150.TSP0155---TSP200X.BS_253_R2										2.692943012349199	0.4254887830241114	3.8691633130650676	13.397884362841687	61.415964294585265	4.2316084701227785	1.3307105996829998
NS.2150.TSP0157---TSP200X.BS_255_R1										4.390979008658881	0.41531942157119484	1.375302220304249	2.130888464718162	55.69375746880026	20.950883278325552	5.067445531791923
NS.2150.TSP0157---TSP200X.BS_255_R2										4.717949362059952	0.45307140630418596	1.0628692126494046	1.903812322147923	56.70763186639306	20.1298855970228	5.67275434375323
NS.2150.TSP0158---TSP200X.BS_256_R1										5.074118491996192	0.564272919870463	0.7564641127215105	1.033466499451203	25.680634174105577	42.91887227856013	16.631150445564124
NS.2150.TSP0158---TSP200X.BS_256_R2										5.785424901077471	0.5909133211829245	0.7036127356824066	0.9000514883999734	25.832494513875144	41.334732847068786	15.860432953155737
NS.2150.TSP0159---TSP200X.BS_257_R1										4.313223718673085	0.533281377329939	1.7805687184218852	2.8612546679693636	58.629043547473145	18.551601106800998	2.567596830565707
NS.2150.TSP0159---TSP200X.BS_257_R2										4.818630152596082	0.4683523459467433	1.3390808122073685	2.723898131427159	58.419608401850496	17.01492688117982	4.962305869452345
NS.2150.TSP0160---TSP200X.BS_258_R1										5.389854225142705	0.7174340248450481	0.8453737827296496	0.91589800332612	21.335608700245643	39.36537597494199	24.339925629583472
NS.2150.TSP0160---TSP200X.BS_258_R2										6.383814797739492	0.7739228176155662	0.7410367204898936	0.793989334326748	21.79193727511734	39.46211705790303	21.642525440227985
NS.2150.TSP0161---TSP200X.BS_259_R1										5.15847263379364	0.6413054446933173	1.107337279885591	1.3618675656946642	27.534072323283976	34.31640035316188	21.993840484899586
NS.2150.TSP0161---TSP200X.BS_259_R2										5.502662810092542	0.7014724324214884	0.9328900235484926	1.3613104185378109	25.845310984866444	34.378688969487804	23.825101459639093
NS.2150.TSP0162---TSP200X.BS_260_R1										5.58144676956388	0.7337896575849765	1.0704624593335093	1.0467310689701348	26.124957519621812	38.952339044129616	18.414892472676588
NS.2150.TSP0162---TSP200X.BS_260_R2										6.08214702633577	0.78021142100683	0.8928688111354067	1.1777897512588822	25.002715619469313	39.399322075393414	19.09453906966964
NS.2150.TSP0163---TSP200X.BS_261_R1										2.1155560333436356	0.9289991982118782	20.771687472844466	18.7047314457718	39.27597188814384	4.680382170740557	0.0
NS.2150.TSP0163---TSP200X.BS_261_R2										2.1619131078969005	0.8763291745340549	19.868279594178283	19.486353657545013	38.4674628915249	2.6996810884550406	2.3889004327439944
NS.2150.TSP0164---TSP200X.BS_262_R2										1.9438736253424915	0.33017584356116053	4.696472807116316	13.974941823368239	61.77713189205419	2.0948279097699207	1.462157039372443
NS.2150.TSP0165---TSP200X.BS_263_R1										4.223012913786832	0.44476400509276104	2.32129865405602	3.278578574026919	50.81859312477265	24.087850127319026	4.979822208075664
NS.2150.TSP0165---TSP200X.BS_263_R2										4.7462286975232715	0.383234436890689	2.057126061943082	3.0358548924147373	51.47830025062915	22.00624542900585	6.705859278281838
NS.2150.TSP0166---TSP200X.BS_264_R1										1.3836309187478812	1.1675048028025765	37.07269182958527	31.59396541982145	16.53435416431235	0.0	0.0
NS.2150.TSP0166---TSP200X.BS_264_R2										1.195772585925005	1.0123281767050534	36.76261581041466	28.824994033604167	19.154802147190093	0.0	0.0
NS.2150.TSP0167---TSP200X.BS_265_R1										3.489343745570983	0.42031168734556557	2.1560694123524438	3.661213645187418	57.65459152360742	17.880177179909946	4.889634513528021
NS.2150.TSP0167---TSP200X.BS_265_R2										3.7797192282325733	0.3619031147674282	1.871467604895759	3.434788388640579	58.056926172538994	17.78339504874205	5.0038526419314575
NS.2150.TSP0168---TSP200X.BS_266_R1										4.092050110688118	0.32740264043504175	1.4616741184849968	2.6968223097899378	52.245976544809146	24.044150518804525	5.944627529220557
NS.2150.TSP0168---TSP200X.BS_266_R2										4.5853043549018295	0.35862199475482515	1.2554930552643837	2.3266908752581523	53.357603881291126	22.049684918994707	6.792957041256957
NS.2150.TSP0169---TSP200X.BS_267_R1										1.1935903130809602	1.433377753648224	47.706184294950894	29.742279913791688	8.171692743036704	0.0	0.0
NS.2150.TSP0169---TSP200X.BS_267_R2										1.0045405065334454	1.067039730466923	47.95718596209484	30.260385839579808	7.716377693985588	0.0	0.0
