Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NS.2150.TSP0025---TSP200X.BS_058_R2	95.41993459020091	48.0	236.42889713138462	242	36.36363636363637	2762378.0
NS.2150.TSP0026---TSP200X.BS_059_R1	94.52125787672261	48.0	235.85282297034354	247	27.27272727272727	2095293.0
NS.2150.TSP0026---TSP200X.BS_059_R2	94.84913245722639	48.0	237.28072546663986	247	36.36363636363637	2083459.0
NS.2150.TSP0027---TSP200X.BS_063_R1	95.04058366290806	47.0	236.59080152537783	247	27.27272727272727	1908773.0
NS.2150.TSP0027---TSP200X.BS_063_R2	95.09636656199451	47.0	237.17745461102243	247	36.36363636363637	1896716.0
NS.2150.TSP0028---TSP200X.BS_066_R1	95.98152056980655	47.0	236.74069007569892	247	27.27272727272727	3489878.0
NS.2150.TSP0028---TSP200X.BS_066_R2	94.01181785248374	47.0	236.80424733034292	247	36.36363636363637	3440985.0
NS.2150.TSP0029---TSP200X.BS_068_R1	94.36707329025083	47.0	235.7106732190467	237	27.27272727272727	499971.0
NS.2150.TSP0029---TSP200X.BS_068_R2	94.52589181348318	47.0	236.11552583346912	237	36.36363636363637	497049.0
NS.2150.TSP0030---TSP200X.BS_069_R1	94.64923990735386	47.0	235.90524533859775	247	27.27272727272727	2250074.0
NS.2150.TSP0030---TSP200X.BS_069_R2	94.75343245006559	47.0	237.3871312558258	247	36.36363636363637	2236815.0
NS.2150.TSP0031---TSP200X.BS_072_R1	95.44766884686703	48.0	236.20289642850693	247	27.27272727272727	3598915.0
NS.2150.TSP0031---TSP200X.BS_072_R2	95.28011947343734	48.0	237.3974319255409	247	36.36363636363637	3573183.0
NS.2150.TSP0032---TSP200X.BS_073_R1	95.06190694611249	47.0	235.64322710018652	247	27.27272727272727	2515348.0
NS.2150.TSP0032---TSP200X.BS_073_R2	95.09204812739085	47.0	236.878448262758	247	36.36363636363637	2499882.0
NS.2150.TSP0033---TSP200X.BS_074_R1	95.00677764985588	47.0	236.00146943145566	247	27.27272727272727	2379832.0
NS.2150.TSP0033---TSP200X.BS_074_R2	94.76355388036492	47.0	236.98943816686096	247	36.36363636363637	2362374.0
NS.2150.TSP0034---TSP200X.BS_078_R1	94.12050050344017	48.0	236.45746979358952	237	36.36363636363637	381376.0
NS.2150.TSP0034---TSP200X.BS_078_R2	93.96243563357173	48.0	236.39785520096592	237	36.36363636363637	378497.0
NS.2150.TSP0035---TSP200X.BS_079_R1	84.99225802681937	50.0	234.76505302521255	247	36.36363636363637	34229.0
NS.2150.TSP0035---TSP200X.BS_079_R2	87.1236330587235	50.0	236.12304670321615	247	36.36363636363637	34109.0
NS.2150.TSP0036---TSP200X.BS_081_R1	85.41694024950755	49.0	237.3623112278398	247	27.27272727272727	30460.0
NS.2150.TSP0036---TSP200X.BS_081_R2	86.71900771920565	49.0	238.29022893712477	247	36.36363636363637	30314.0
NS.2150.TSP0037---TSP200X.BS_083_R1	95.42192084927368	47.0	236.00658259873111	247	27.27272727272727	3174734.0
NS.2150.TSP0037---TSP200X.BS_083_R2	95.08339809112071	47.0	236.98578271560893	247	36.36363636363637	3150461.0
NS.2150.TSP0038---TSP200X.BS_085_R1	93.84092568441122	47.0	235.7914299320905	247	27.27272727272727	1236793.0
NS.2150.TSP0038---TSP200X.BS_085_R2	93.54314742324924	48.0	236.5145693815195	247	36.36363636363637	1226991.0
NS.2150.TSP0039---TSP200X.BS_086_R1	95.35236324254087	48.0	235.9779760003021	247	27.27272727272727	3336542.0
NS.2150.TSP0039---TSP200X.BS_086_R2	95.12757145763638	48.0	237.1407812583495	247	36.36363636363637	3312323.0
NS.2150.TSP0040---TSP200X.BS_087_R1	92.29713649387412	46.0	235.2056043222362	247	36.36363636363637	405901.0
NS.2150.TSP0040---TSP200X.BS_087_R2	92.8018698630816	46.0	235.56765612761865	247	36.36363636363637	403452.0
NS.2150.TSP0041---TSP200X.BS_088_R1	92.68044274008504	47.0	235.1180996891731	247	27.27272727272727	757013.0
NS.2150.TSP0041---TSP200X.BS_088_R2	93.08172843244277	47.0	236.29914104270085	247	36.36363636363637	753006.0
