#Mapping quality	mapping quality
0.0	130140.0
1.0	3523.0
2.0	3973.0
3.0	5926.0
4.0	2366.0
5.0	3735.0
6.0	2775.0
7.0	1368.0
8.0	1830.0
9.0	1637.0
10.0	1500.0
11.0	945.0
12.0	2244.0
13.0	947.0
14.0	1228.0
15.0	951.0
16.0	1103.0
17.0	1213.0
18.0	866.0
19.0	1107.0
20.0	730.0
21.0	345.0
22.0	494.0
23.0	499.0
24.0	1233.0
25.0	1108.0
26.0	869.0
27.0	726.0
28.0	373.0
29.0	252.0
30.0	452.0
31.0	100.0
32.0	7.0
33.0	603.0
34.0	151.0
35.0	638.0
36.0	560.0
37.0	531.0
38.0	400.0
39.0	223.0
40.0	797.0
41.0	625.0
42.0	430.0
43.0	678.0
44.0	1376.0
45.0	2430.0
46.0	462.0
47.0	242.0
48.0	434.0
49.0	527.0
50.0	222.0
51.0	831.0
52.0	392.0
53.0	524.0
54.0	641.0
55.0	342.0
56.0	610.0
57.0	1648.0
58.0	1917.0
59.0	107176.0
60.0	223353.0
