#Duplication rate	Coverage
1.0	11237.0
2.0	2626.0
3.0	940.0
4.0	604.0
5.0	352.0
6.0	291.0
7.0	197.0
8.0	167.0
9.0	111.0
10.0	113.0
11.0	100.0
12.0	85.0
13.0	53.0
14.0	66.0
15.0	49.0
16.0	47.0
17.0	53.0
18.0	39.0
19.0	31.0
20.0	33.0
21.0	29.0
22.0	27.0
23.0	25.0
24.0	17.0
25.0	25.0
26.0	21.0
27.0	21.0
28.0	18.0
29.0	15.0
30.0	17.0
31.0	22.0
32.0	12.0
33.0	12.0
34.0	12.0
35.0	12.0
36.0	10.0
37.0	10.0
38.0	10.0
39.0	10.0
40.0	9.0
41.0	6.0
42.0	4.0
43.0	8.0
44.0	10.0
45.0	9.0
46.0	15.0
47.0	7.0
48.0	6.0
49.0	4.0
50.0	1271.0
