#Duplication rate	Coverage
1.0	3767.0
2.0	879.0
3.0	306.0
4.0	191.0
5.0	129.0
6.0	75.0
7.0	64.0
8.0	44.0
9.0	42.0
10.0	30.0
11.0	30.0
12.0	40.0
13.0	19.0
14.0	29.0
15.0	26.0
16.0	15.0
17.0	18.0
18.0	20.0
19.0	12.0
20.0	13.0
21.0	14.0
22.0	9.0
23.0	11.0
24.0	16.0
25.0	10.0
26.0	18.0
27.0	16.0
28.0	6.0
29.0	19.0
30.0	13.0
31.0	11.0
32.0	10.0
33.0	20.0
34.0	13.0
35.0	9.0
36.0	11.0
37.0	17.0
38.0	12.0
39.0	12.0
40.0	15.0
41.0	13.0
42.0	19.0
43.0	16.0
44.0	18.0
45.0	9.0
46.0	19.0
47.0	16.0
48.0	15.0
49.0	16.0
50.0	718.0
