#Coverage (X)	Coverage
1.0	0.03237325502651345
2.0	0.02041400805676119
3.0	0.014048291335015506
4.0	0.013048807910720939
5.0	0.010906171940945342
6.0	0.010516947334167526
7.0	0.009439195240943832
8.0	0.00924352356862812
9.0	0.008578707251402307
10.0	0.008389578740107595
11.0	0.007955891796328274
12.0	0.007869397439264958
13.0	0.007558846554232446
14.0	0.007471697881072714
15.0	0.007270791679943045
16.0	0.007203739858468339
17.0	0.007036297252255963
18.0	0.006997754918074861
19.0	0.006838195262986346
20.0	0.006789557766097687
21.0	0.006682592662428988
22.0	0.006651216647455271
23.0	0.006565002711582224
24.0	0.006539951752259299
25.0	0.006490192570623776
26.0	0.0064575390813530475
27.0	0.0063764350426538385
28.0	0.006344155448303468
29.0	0.006298945321461247
30.0	0.006264952042087657
31.0	0.006203913697177654
32.0	0.006185810951691906
33.0	0.00613645682287256
34.0	0.006118977235587408
35.0	0.00607660247852948
36.0	0.0060694673172321245
37.0	0.006018804556219948
38.0	0.006000857600284348
39.0	0.005969512743220662
40.0	0.005954058420059027
41.0	0.005928103881359448
42.0	0.005915983454528373
43.0	0.005889966600008734
44.0	0.005883174175721706
45.0	0.005849991001994681
46.0	0.005844195630814397
47.0	0.005817337512738163
48.0	0.005804064243250195
49.0	0.005776458335347456
50.0	0.005750784217838145
51.0	0.00571598083280378
