#Duplication rate	Coverage
1.0	29799.0
2.0	9339.0
3.0	3962.0
4.0	2264.0
5.0	1395.0
6.0	883.0
7.0	617.0
8.0	512.0
9.0	377.0
10.0	302.0
11.0	264.0
12.0	246.0
13.0	196.0
14.0	172.0
15.0	137.0
16.0	142.0
17.0	131.0
18.0	92.0
19.0	93.0
20.0	101.0
21.0	91.0
22.0	91.0
23.0	75.0
24.0	64.0
25.0	60.0
26.0	56.0
27.0	54.0
28.0	55.0
29.0	45.0
30.0	45.0
31.0	37.0
32.0	40.0
33.0	45.0
34.0	35.0
35.0	47.0
36.0	29.0
37.0	50.0
38.0	37.0
39.0	27.0
40.0	27.0
41.0	19.0
42.0	22.0
43.0	20.0
44.0	17.0
45.0	22.0
46.0	26.0
47.0	24.0
48.0	16.0
49.0	30.0
50.0	2257.0
