#Mapping quality	mapping quality
0.0	165433.0
1.0	5776.0
2.0	4882.0
3.0	7582.0
4.0	2902.0
5.0	4186.0
6.0	3215.0
7.0	2900.0
8.0	1898.0
9.0	2110.0
10.0	2118.0
11.0	1682.0
12.0	1479.0
13.0	1409.0
14.0	1264.0
15.0	1454.0
16.0	1336.0
17.0	1273.0
18.0	906.0
19.0	838.0
20.0	823.0
21.0	814.0
22.0	496.0
23.0	755.0
24.0	1018.0
25.0	2202.0
26.0	1018.0
27.0	863.0
28.0	492.0
29.0	696.0
30.0	551.0
31.0	492.0
32.0	220.0
33.0	690.0
34.0	626.0
35.0	201.0
36.0	288.0
37.0	313.0
38.0	224.0
39.0	492.0
40.0	1517.0
41.0	321.0
42.0	915.0
43.0	542.0
44.0	715.0
45.0	2179.0
46.0	668.0
47.0	670.0
48.0	529.0
49.0	716.0
50.0	850.0
51.0	1003.0
52.0	726.0
53.0	574.0
54.0	486.0
55.0	677.0
56.0	1477.0
57.0	1763.0
58.0	2493.0
59.0	112194.0
60.0	406661.0
