#Position (bp)	insert size
4011823.0	12668.693123793872
1.2035468E7	22373.22577440301
2.0059113E7	13995.17908108554
2.8082758E7	248.34615384615384
3.6106403E7	213.2
4.4130048E7	173.0
5.2153693E7	159.4
6.0177338E7	2.1681488E7
6.8200983E7	0.0
7.6224628E7	204.0
8.4248273E7	18833.13787214664
9.2271918E7	9223839.666666666
1.00295563E8	8.2383721E7
1.08319208E8	296.6666666666667
1.16342853E8	0.0
1.24366498E8	0.0
1.32390143E8	0.0
1.40413788E8	276.02952419273714
1.48437433E8	7469.44338008895
1.56461078E8	459.3333333333333
1.64484723E8	291.6301351912115
1.72508368E8	0.0
1.80532013E8	210.0
1.88555658E8	320.0
1.96579303E8	0.0
2.04602948E8	252.63636363636363
2.12626593E8	222.0
2.20650238E8	127.0
2.28673883E8	247.53846153846155
2.36697528E8	257.125
2.44721173E8	0.0
2.48844709E8	0.0
2.528565315E8	204.0
2.60768463E8	340.6666666666667
2.68792108E8	248.0
2.76815753E8	272.5
2.84839398E8	6.363841390374332E7
2.92863043E8	0.0
3.00886688E8	282.0
3.08910333E8	292.0
3.16933978E8	219.27272727272728
3.24957623E8	208.71428571428572
3.32981268E8	441.0
3.41004913E8	233.9385057169372
3.49028558E8	327.46666666666664
3.57052203E8	194.0
3.65075848E8	228.5
3.73099493E8	10766.168974811786
3.81123138E8	187.84615384615384
3.89146783E8	0.0
3.97170428E8	0.0
4.05194073E8	0.0
4.13217718E8	0.0
4.21241363E8	554.6190476190476
4.29265008E8	0.0
4.37288653E8	343.0
4.45312298E8	307.0
4.53335943E8	0.0
4.61359588E8	0.0
4.69383233E8	188.33333333333334
4.77406878E8	214.76363636363635
4.85430523E8	240.88888888888889
4.902961485E8	277.6666666666667
4.94307971E8	180.33333333333334
5.01477813E8	242.875
5.09501458E8	190.0
5.17525103E8	223.0
5.25548748E8	232.3
5.33572393E8	227.0
5.41596038E8	3707.3799787760877
5.49619683E8	0.0
5.57643328E8	243.4
5.65666973E8	223.0
5.73690618E8	163.0
5.81714263E8	189.5
5.89737908E8	0.0
5.97761553E8	0.0
6.05785198E8	0.0
6.13808843E8	523.0
6.21832488E8	928.9773703889726
6.29856133E8	158.33333333333334
6.37879778E8	173.66666666666666
6.45903423E8	2855.6113474705844
6.53927068E8	340.0
6.61950713E8	0.0
6.69974358E8	602.0
6.77998003E8	232.33333333333334
6.85727668E8	249.75
6.897394905E8	0.0
6.94045293E8	21261.552041049683
7.02068938E8	227.5
7.10092583E8	403.0
7.18116228E8	298.0
7.26139873E8	140.0
7.34163518E8	146.0
7.42187163E8	270.0
7.50210808E8	337.0
7.58234453E8	0.0
7.66258098E8	0.0
7.74281743E8	162.0
7.82305388E8	217.0
