#Mapping quality	mapping quality
0.0	89116.0
1.0	2582.0
2.0	2347.0
3.0	5195.0
4.0	1819.0
5.0	3280.0
6.0	2702.0
7.0	1137.0
8.0	1201.0
9.0	895.0
10.0	1226.0
11.0	986.0
12.0	829.0
13.0	525.0
14.0	883.0
15.0	610.0
16.0	1048.0
17.0	1250.0
18.0	943.0
19.0	543.0
20.0	534.0
21.0	221.0
22.0	314.0
23.0	624.0
24.0	648.0
25.0	435.0
26.0	715.0
27.0	211.0
28.0	133.0
29.0	128.0
30.0	162.0
31.0	86.0
32.0	160.0
33.0	195.0
34.0	173.0
35.0	187.0
36.0	200.0
37.0	280.0
38.0	75.0
39.0	179.0
40.0	535.0
41.0	336.0
42.0	639.0
43.0	421.0
44.0	437.0
45.0	2176.0
46.0	182.0
47.0	9.0
48.0	259.0
49.0	172.0
50.0	790.0
51.0	113.0
52.0	340.0
53.0	252.0
54.0	913.0
55.0	926.0
56.0	1094.0
57.0	1203.0
58.0	938.0
59.0	95591.0
60.0	121578.0
