#Coverage (X)	Coverage
1.0	0.01101996062682531
2.0	0.007563457924845807
3.0	0.00621416464942115
4.0	0.006092243749137083
5.0	0.005698283140091576
6.0	0.005644722693475046
7.0	0.005473509980191693
8.0	0.005435777751657156
9.0	0.005344111181599942
10.0	0.00533146107029836
11.0	0.005238330078483955
12.0	0.005224340177065301
13.0	0.005200722481589537
14.0	0.005182245841197641
15.0	0.005136287924528915
16.0	0.005124977603344405
17.0	0.005096374642320711
18.0	0.005088834428192968
19.0	0.005056149781012209
20.0	0.005044247459537132
21.0	0.005029696715752152
22.0	0.005023028923091033
23.0	0.005014429340036486
24.0	0.005004957335515314
25.0	0.004992213750483643
26.0	0.004987384274500073
27.0	0.00496834679172764
28.0	0.004964358579300665
29.0	0.004943981306425371
30.0	0.0049412394103853785
31.0	0.004933107195981279
32.0	0.004927561088067023
33.0	0.004925037297383028
34.0	0.004924445297106672
35.0	0.004921703401066679
36.0	0.004918587610106329
37.0	0.004918494136376239
38.0	0.0049172789778992865
39.0	0.0049163130827025725
40.0	0.00491509792422562
41.0	0.0049143812923091446
42.0	0.004911390132988913
43.0	0.004906716446541282
44.0	0.004904410761227496
45.0	0.0049021362338237395
46.0	0.0048981168634867345
47.0	0.004887772437498938
48.0	0.0048869934897624034
49.0	0.004878269275067737
50.0	0.004873844851900344
51.0	0.004860852003588434
