#Mapping quality	mapping quality
0.0	45888.0
1.0	1690.0
2.0	1384.0
3.0	3771.0
4.0	1102.0
5.0	2271.0
6.0	785.0
7.0	764.0
8.0	842.0
9.0	420.0
10.0	592.0
11.0	415.0
12.0	388.0
13.0	386.0
14.0	345.0
15.0	407.0
16.0	434.0
17.0	895.0
18.0	141.0
19.0	469.0
20.0	339.0
21.0	279.0
22.0	89.0
23.0	341.0
24.0	503.0
25.0	384.0
26.0	399.0
27.0	426.0
28.0	595.0
29.0	234.0
30.0	306.0
31.0	149.0
32.0	64.0
33.0	42.0
34.0	72.0
35.0	207.0
36.0	397.0
37.0	323.0
38.0	202.0
40.0	528.0
41.0	600.0
42.0	524.0
43.0	363.0
44.0	524.0
45.0	2183.0
46.0	111.0
47.0	286.0
48.0	291.0
49.0	126.0
50.0	238.0
51.0	292.0
52.0	139.0
53.0	452.0
54.0	346.0
55.0	313.0
56.0	254.0
57.0	1486.0
58.0	1393.0
59.0	56411.0
60.0	162514.0
