#Duplication rate	Coverage
1.0	23066.0
2.0	6426.0
3.0	2441.0
4.0	1367.0
5.0	804.0
6.0	580.0
7.0	396.0
8.0	357.0
9.0	275.0
10.0	221.0
11.0	190.0
12.0	151.0
13.0	138.0
14.0	134.0
15.0	94.0
16.0	80.0
17.0	104.0
18.0	82.0
19.0	84.0
20.0	64.0
21.0	63.0
22.0	47.0
23.0	53.0
24.0	42.0
25.0	56.0
26.0	38.0
27.0	35.0
28.0	44.0
29.0	33.0
30.0	31.0
31.0	39.0
32.0	30.0
33.0	31.0
34.0	29.0
35.0	32.0
36.0	22.0
37.0	25.0
38.0	27.0
39.0	21.0
40.0	28.0
41.0	27.0
42.0	15.0
43.0	21.0
44.0	15.0
45.0	24.0
46.0	21.0
47.0	14.0
48.0	23.0
49.0	15.0
50.0	1857.0
