#GC Content (%)	Sample	HUMAN (hg19)
1.0	4.433666081366975E-5	0.0
2.0	9.201948470761646E-6	3.0E-6
3.0	1.8403896941523292E-5	3.0E-6
4.0	3.011546772249266E-5	1.0E-5
5.0	1.589427463131557E-5	8.0E-6
6.0	1.9240437711592532E-5	1.2000000000000002E-5
7.0	1.0875030010900125E-5	6.999999999999999E-6
8.0	1.673081540138481E-5	9.999999999999999E-6
9.0	6.6923261605539234E-6	1.6E-5
10.0	1.1711570780969366E-5	1.5000000000000002E-5
11.0	5.019244620415442E-6	1.9999999999999998E-5
12.0	5.855785390484683E-6	1.6E-5
13.0	8.365407700692404E-7	1.6E-5
14.0	7.528866930623165E-6	2.4999999999999998E-5
15.0	6.692326160553924E-6	2.2000000000000003E-5
16.0	2.509622310207721E-6	2.6999999999999996E-5
17.0	4.182703850346202E-6	3.3E-5
18.0	6.6923261605539234E-6	3.7000000000000005E-5
19.0	5.019244620415442E-6	4.7000000000000004E-5
20.0	6.6923261605539234E-6	5.4999999999999995E-5
21.0	3.3461630802769617E-6	6.400000000000001E-5
22.0	2.3423141561938735E-5	9.3E-5
23.0	2.6769304642215697E-5	1.66E-4
24.0	3.4298171572838865E-5	3.03E-4
25.0	1.8989475480571757E-4	7.059999999999999E-4
26.0	9.595122632694189E-4	0.0016020000000000001
27.0	0.0018504281833931601	0.0033690000000000005
28.0	0.003278403277901353	0.006167999999999999
29.0	0.0014171000644972933	0.010352
30.0	0.006158613149249749	0.015647
31.0	0.011934927166577854	0.022148
32.0	0.010977087984848572	0.028808
33.0	0.01963528495506521	0.035106000000000005
34.0	0.021693175249435544	0.041161
35.0	0.02537479117851027	0.047408
36.0	0.028628098233309546	0.052698999999999996
37.0	0.03840809637618904	0.057517000000000006
38.0	0.03877282815193922	0.061487999999999994
39.0	0.043664082034534084	0.063321
40.0	0.0571148210764774	0.060248
41.0	0.04833448915383065	0.055508
42.0	0.048079344218959534	0.051446000000000006
43.0	0.042860166354497534	0.048194
44.0	0.02509204039822687	0.044423
45.0	0.0125673519887502	0.040655000000000004
46.0	0.01099214571870982	0.03652
47.0	0.01424294315119889	0.032315
48.0	0.012487880615593623	0.028137999999999996
49.0	0.02090682692557046	0.02458
50.0	0.0237150942906929	0.020810000000000002
51.0	0.02465703919779086	0.017532
52.0	0.02947635057415976	0.014506999999999997
53.0	0.02877031016422132	0.012007
54.0	0.01741426921053138	0.010018
55.0	0.024697193154754184	0.008414999999999999
56.0	0.02424127843506645	0.007258
57.0	0.03235405082319794	0.006174999999999999
58.0	0.035788050684332176	0.005363000000000001
59.0	0.02471894321477599	0.0046159999999999994
60.0	0.03126571128133786	0.003946
61.0	0.029190253630796074	0.0034579999999999993
62.0	0.022851784215981445	0.002915
63.0	0.012723785112753147	0.0024610000000000005
64.0	0.01837210839226066	0.0019950000000000002
65.0	0.013659037693690559	0.0016779999999999998
66.0	0.015806437850458297	0.0013500000000000003
67.0	0.010788866311582993	0.001069
68.0	0.009338304616282933	8.119999999999999E-4
69.0	0.008490052275432723	6.4E-4
70.0	0.004940609788028934	5.05E-4
71.0	0.004238752081940841	4.0299999999999993E-4
72.0	0.0013242440390196079	3.2E-4
73.0	5.420784190048678E-4	2.79E-4
74.0	1.1878878934983216E-4	2.0700000000000002E-4
75.0	3.5134712342908096E-5	2.0099999999999998E-4
76.0	2.2586600791869494E-5	1.54E-4
77.0	1.673081540138481E-5	1.12E-4
78.0	1.3384652321107849E-5	7.699999999999999E-5
79.0	9.201948470761644E-6	6.3E-5
80.0	4.182703850346202E-6	3.7E-5
81.0	3.3461630802769617E-6	2.8000000000000003E-5
82.0	0.0	1.6E-5
83.0	0.0	9.0E-6
84.0	0.0	4.0E-6
85.0	0.0	0.0
86.0	0.0	1.0E-6
87.0	0.0	0.0
88.0	8.365407700692404E-7	0.0
89.0	8.365407700692404E-7	0.0
90.0	0.0	0.0
91.0	8.365407700692404E-7	0.0
92.0	8.365407700692404E-7	0.0
93.0	8.365407700692404E-7	0.0
94.0	7.528866930623164E-6	0.0
95.0	1.8403896941523292E-5	0.0
96.0	6.441363929533152E-5	0.0
97.0	1.6228890939343267E-4	0.0
98.0	3.4298171572838857E-4	0.0
99.0	5.153091143626522E-4	0.0
100.0	0.0033545284879776542	0.0
