#Duplication rate	Coverage
1.0	16139.0
2.0	4017.0
3.0	1469.0
4.0	877.0
5.0	477.0
6.0	369.0
7.0	251.0
8.0	235.0
9.0	180.0
10.0	131.0
11.0	138.0
12.0	119.0
13.0	105.0
14.0	87.0
15.0	101.0
16.0	88.0
17.0	61.0
18.0	50.0
19.0	56.0
20.0	48.0
21.0	32.0
22.0	44.0
23.0	45.0
24.0	31.0
25.0	31.0
26.0	31.0
27.0	39.0
28.0	26.0
29.0	26.0
30.0	29.0
31.0	25.0
32.0	22.0
33.0	29.0
34.0	20.0
35.0	14.0
36.0	33.0
37.0	14.0
38.0	21.0
39.0	17.0
40.0	19.0
41.0	15.0
42.0	23.0
43.0	19.0
44.0	13.0
45.0	10.0
46.0	13.0
47.0	15.0
48.0	15.0
49.0	12.0
50.0	1442.0
