#Duplication rate	Coverage
1.0	18348.0
2.0	4576.0
3.0	1682.0
4.0	1009.0
5.0	581.0
6.0	426.0
7.0	298.0
8.0	224.0
9.0	196.0
10.0	163.0
11.0	135.0
12.0	128.0
13.0	105.0
14.0	88.0
15.0	81.0
16.0	91.0
17.0	66.0
18.0	63.0
19.0	65.0
20.0	53.0
21.0	47.0
22.0	55.0
23.0	46.0
24.0	45.0
25.0	28.0
26.0	49.0
27.0	33.0
28.0	39.0
29.0	26.0
30.0	21.0
31.0	27.0
32.0	26.0
33.0	33.0
34.0	30.0
35.0	26.0
36.0	16.0
37.0	24.0
38.0	17.0
39.0	25.0
40.0	13.0
41.0	15.0
42.0	18.0
43.0	16.0
44.0	8.0
45.0	15.0
46.0	12.0
47.0	14.0
48.0	14.0
49.0	8.0
50.0	1553.0
