#Mapping quality	mapping quality
0.0	155989.0
1.0	6320.0
2.0	3632.0
3.0	6950.0
4.0	3637.0
5.0	4426.0
6.0	3272.0
7.0	1703.0
8.0	1933.0
9.0	1699.0
10.0	1476.0
11.0	1383.0
12.0	1760.0
13.0	1129.0
14.0	1340.0
15.0	918.0
16.0	1328.0
17.0	1552.0
18.0	1304.0
19.0	1201.0
20.0	935.0
21.0	370.0
22.0	908.0
23.0	459.0
24.0	1143.0
25.0	897.0
26.0	1660.0
27.0	237.0
28.0	604.0
29.0	366.0
30.0	928.0
31.0	135.0
32.0	405.0
33.0	358.0
34.0	577.0
35.0	350.0
36.0	438.0
37.0	507.0
38.0	327.0
39.0	333.0
40.0	620.0
41.0	821.0
42.0	724.0
43.0	1078.0
44.0	678.0
45.0	2164.0
46.0	598.0
47.0	285.0
48.0	516.0
49.0	640.0
50.0	459.0
51.0	810.0
52.0	339.0
53.0	254.0
54.0	1227.0
55.0	539.0
56.0	999.0
57.0	1483.0
58.0	2140.0
59.0	105683.0
60.0	360824.0
