#Mapping quality	mapping quality
0.0	90168.0
1.0	2343.0
2.0	2321.0
3.0	4448.0
4.0	1487.0
5.0	2774.0
6.0	2233.0
7.0	828.0
8.0	1059.0
9.0	914.0
10.0	628.0
11.0	522.0
12.0	1008.0
13.0	1069.0
14.0	617.0
15.0	607.0
16.0	875.0
17.0	1320.0
18.0	796.0
19.0	251.0
20.0	559.0
21.0	427.0
22.0	442.0
23.0	377.0
24.0	548.0
25.0	810.0
26.0	814.0
27.0	889.0
28.0	273.0
29.0	107.0
30.0	625.0
31.0	173.0
32.0	90.0
33.0	288.0
34.0	190.0
35.0	393.0
36.0	76.0
37.0	393.0
39.0	308.0
40.0	448.0
41.0	388.0
42.0	1014.0
43.0	784.0
44.0	645.0
45.0	1428.0
46.0	69.0
47.0	204.0
48.0	274.0
49.0	513.0
50.0	131.0
51.0	162.0
52.0	246.0
53.0	320.0
54.0	1299.0
55.0	359.0
56.0	569.0
57.0	1418.0
58.0	1248.0
59.0	86248.0
60.0	209966.0
