#Read position (bp)	Clipping profile
0.0	1.7556131796333105
1.0	1.7429823648599172
2.0	1.7374290107917263
3.0	1.7323836922692057
4.0	1.7272507814112246
5.0	1.7206463193175086
6.0	1.712482713652597
7.0	1.7041789602509485
8.0	1.6895335217619651
9.0	1.6776560010735317
10.0	1.6727508302877478
11.0	1.5393827403157039
12.0	1.472952713102517
13.0	1.414896513159347
14.0	1.367754318214546
15.0	1.3075433468190492
16.0	1.2203364176346496
17.0	1.1030502804531397
18.0	1.0552599022259315
19.0	1.0262142837872543
20.0	0.9890751335520339
21.0	0.9489928808453431
22.0	0.8976637722655337
23.0	0.8699670757929471
24.0	0.8179197100623623
25.0	0.7688329652703397
26.0	0.7361785426106932
27.0	0.7180294107032928
28.0	0.6361305770477949
29.0	0.5782320433084536
30.0	0.545980545391925
31.0	0.5221554301466891
32.0	0.4520815617783487
33.0	0.3930618461451139
34.0	0.3242142704732194
35.0	0.2539476989668659
36.0	0.24639723965017724
37.0	0.24240302915318185
38.0	0.2398278144906453
39.0	0.23783070924214758
40.0	0.23639419494059663
41.0	0.23502775450741398
42.0	0.2338364987451522
43.0	0.23259268758161417
44.0	0.2315941349573653
45.0	0.2301926575899985
46.0	0.2292291418999338
47.0	0.2283181816111454
48.0	0.22614589169172683
49.0	0.2252699683371226
50.0	0.22446411885088663
51.0	0.22311519688479614
52.0	0.19881708302807405
53.0	0.1855556034393656
54.0	0.1848548647556822
55.0	0.1549333229624008
56.0	0.15337417939120523
57.0	0.15193766508965426
58.0	0.15079896472866872
59.0	0.1499931152424328
60.0	0.13692433879173732
61.0	0.13617104470677766
62.0	0.13533015828635755
63.0	0.13497978894451587
64.0	0.1174963587866149
65.0	0.11663795389910273
66.0	0.11635765842562937
67.0	0.11598977061669559
68.0	0.11518392113045967
69.0	0.11451821938096045
70.0	0.09868152512971548
71.0	0.0727717123005216
72.0	0.07158045653825981
73.0	0.07068701471656347
74.0	0.06925050041501249
75.0	0.06877750180352618
76.0	0.06847968786296074
77.0	0.06786654151473775
78.0	0.06767383837672482
79.0	0.06730595056779104
80.0	0.06697309969304142
81.0	0.06657017494992346
82.0	0.06620228714098968
83.0	0.06586943626624006
84.0	0.06539643765475375
85.0	0.0652212529838329
86.0	0.06481832824071496
87.0	0.06445044043178116
88.0	0.06411758955703153
89.0	0.0638197756164661
90.0	0.06343436934044022
91.0	0.06306648153150643
92.0	0.06278618605803309
93.0	0.06234822438073095
94.0	0.06189274423633673
95.0	0.06159493029577129
96.0	0.06115696861846916
97.0	0.06085915467790371
98.0	0.060578859204430346
99.0	0.05849416162047222
100.0	0.05812627381153844
101.0	0.05760071979877588
102.0	0.05810875534444635
103.0	0.05775838600260465
104.0	0.05763575673296005
105.0	0.057881015272249245
106.0	0.057775904469696736
107.0	0.05749560899622337
108.0	0.05705764731892124
109.0	0.05693501804927665
110.0	0.05670727797707954
111.0	0.0567598333783558
112.0	0.056584648707434945
113.0	0.05637442710232992
114.0	0.056584648707434945
115.0	0.056654722575803285
116.0	0.05677735184544788
117.0	0.056619685641619115
118.0	0.05649705637197452
119.0	0.0566372041087112
120.0	0.056514574839066606
121.0	0.0567598333783558
122.0	0.056619685641619115
123.0	0.056514574839066606
124.0	0.05646201943779035
125.0	0.056111650095948644
126.0	0.0560415762275803
127.0	0.056146687030132814
128.0	0.05583135462247528
129.0	0.05583135462247528
130.0	0.05567368841864652
131.0	0.05556857761609401
132.0	0.05562113301737026
133.0	0.05555105914900192
134.0	0.055428429879357324
135.0	0.055288282142620646
136.0	0.055463466813541494
137.0	0.05548098528063358
138.0	0.054832801998226426
139.0	0.054850320465318514
140.0	0.05495543126787102
141.0	0.05513061593879188
142.0	0.05513061593879188
143.0	0.055253245208436476
144.0	0.055253245208436476
145.0	0.055323319076804815
146.0	0.05527076367552856
147.0	0.05509557900460771
148.0	0.055218208274252306
149.0	0.055288282142620646
150.0	0.055323319076804815
151.0	0.05527076367552856
152.0	0.055323319076804815
153.0	0.05555105914900192
154.0	0.05570872535283069
155.0	0.057460572062039195
156.0	0.05756568286459171
157.0	0.05753064593040754
158.0	0.05768831213423631
159.0	0.0579335706735255
160.0	0.05786349680515716
161.0	0.05803868147607801
162.0	0.058021163008985924
163.0	0.05830145848245928
164.0	0.05842408775210388
165.0	0.05882701249522184
166.0	0.05900219716614269
167.0	0.05919490030415563
168.0	0.059422640376352726
169.0	0.05966789891564192
170.0	0.05972045431691818
