#Mapping quality	mapping quality
0.0	11966.0
1.0	199.0
2.0	199.0
3.0	2988.0
4.0	183.0
5.0	805.0
6.0	542.0
7.0	86.0
8.0	111.0
9.0	65.0
10.0	15.0
11.0	104.0
12.0	97.0
13.0	126.0
14.0	406.0
15.0	113.0
16.0	107.0
17.0	369.0
18.0	689.0
19.0	182.0
21.0	36.0
25.0	34.0
26.0	335.0
27.0	568.0
30.0	1.0
31.0	46.0
33.0	107.0
34.0	34.0
35.0	92.0
39.0	114.0
40.0	77.0
41.0	120.0
42.0	240.0
43.0	700.0
44.0	282.0
45.0	1592.0
46.0	522.0
47.0	8.0
48.0	196.0
49.0	4.0
50.0	106.0
51.0	53.0
52.0	297.0
53.0	101.0
54.0	142.0
55.0	472.0
56.0	501.0
57.0	761.0
58.0	755.0
59.0	8052.0
60.0	139135.0
