#Mapping quality	mapping quality
0.0	162064.0
1.0	5590.0
2.0	4452.0
3.0	7072.0
4.0	3303.0
5.0	4477.0
6.0	2872.0
7.0	1984.0
8.0	2294.0
9.0	2168.0
10.0	1474.0
11.0	1086.0
12.0	1397.0
13.0	1148.0
14.0	1130.0
15.0	1323.0
16.0	1360.0
17.0	1295.0
18.0	1576.0
19.0	678.0
20.0	574.0
21.0	101.0
22.0	392.0
23.0	654.0
24.0	1664.0
25.0	1091.0
26.0	1210.0
27.0	757.0
28.0	735.0
29.0	242.0
30.0	792.0
31.0	340.0
32.0	203.0
33.0	402.0
34.0	243.0
35.0	461.0
36.0	647.0
37.0	269.0
38.0	178.0
39.0	216.0
40.0	1611.0
41.0	762.0
42.0	770.0
43.0	650.0
44.0	432.0
45.0	2717.0
46.0	192.0
47.0	236.0
48.0	993.0
49.0	782.0
50.0	611.0
51.0	689.0
52.0	102.0
53.0	686.0
54.0	485.0
55.0	258.0
56.0	1192.0
57.0	1191.0
58.0	1973.0
59.0	111419.0
60.0	252057.0
