#Coverage (X)	Coverage
1.0	0.005547883910438145
2.0	0.005230727548578784
3.0	0.004929524036427324
4.0	0.004892539597733503
5.0	0.004813554296887901
6.0	0.0047804334389809355
7.0	0.004744477211303888
8.0	0.004715219934183779
9.0	0.004661036329380863
10.0	0.004637480949725159
11.0	0.00459024555875942
12.0	0.004578561342654552
13.0	0.0045329150050861244
14.0	0.0045137528906735724
15.0	0.004475054766942321
16.0	0.004464336446034167
17.0	0.004429346113553834
18.0	0.00440245683756757
19.0	0.004363634082196199
20.0	0.0043335043836094655
21.0	0.00429396499632162
22.0	0.0042798193053670275
23.0	0.004241027707905687
24.0	0.004219622224013619
25.0	0.004185971681636147
26.0	0.004167121146323893
27.0	0.004125805758192769
28.0	0.004108045749717348
29.0	0.0040656398347493905
30.0	0.004043237297750579
31.0	0.004003261699722316
32.0	0.003984442322320092
33.0	0.0039414132491515375
34.0	0.003913713867518709
35.0	0.003870342057354037
36.0	0.003843110044357445
37.0	0.0037933197048118927
38.0	0.0037708860099030517
39.0	0.0037234948294013748
40.0	0.0037042392412587333
41.0	0.003656972692382965
42.0	0.0036232598341854327
43.0	0.0035985204539628057
44.0	0.0035690450714724875
45.0	0.003530222316101117
46.0	0.0035128985183661143
47.0	0.0034576867025464253
48.0	0.003438586903953933
49.0	0.003408644152827378
50.0	0.003395246251699291
51.0	0.003361066024865522
