#Coverage	Number of genomic locations
0.0	3.209283093E9
1.0	11238.0
2.0	8075.0
3.0	699.0
4.0	2219.0
5.0	374.0
6.0	1959.0
7.0	1176.0
8.0	1467.0
9.0	935.0
10.0	942.0
11.0	575.0
12.0	1741.0
13.0	909.0
14.0	1408.0
15.0	188.0
16.0	1562.0
17.0	861.0
18.0	2061.0
19.0	878.0
20.0	1309.0
21.0	1036.0
22.0	1636.0
23.0	973.0
24.0	846.0
25.0	1010.0
26.0	1284.0
27.0	1481.0
28.0	1195.0
29.0	1376.0
30.0	871.0
31.0	875.0
32.0	1208.0
33.0	679.0
34.0	1385.0
35.0	1455.0
36.0	1632.0
37.0	1411.0
38.0	1508.0
39.0	959.0
40.0	1794.0
41.0	668.0
42.0	1074.0
43.0	864.0
44.0	1153.0
45.0	784.0
46.0	2062.0
47.0	1128.0
48.0	1719.0
49.0	1031.0
50.0	959.0
51.0	865.0
52.0	1148.0
53.0	725.0
54.0	1760.0
55.0	626.0
56.0	1643.0
57.0	871.0
58.0	1816.0
59.0	1278.0
60.0	1113.0
61.0	612.0
62.0	1749.0
63.0	843.0
64.0	821.0
65.0	792.0
66.0	627.0
67.0	867.0
68.0	1584.0
69.0	885.0
70.0	976.0
71.0	861.0
72.0	816.0
73.0	628.0
74.0	1272.0
75.0	526.0
76.0	1306.0
77.0	909.0
78.0	1789.0
79.0	790.0
80.0	914.0
81.0	496.0
82.0	904.0
83.0	322.0
84.0	856.0
85.0	455.0
86.0	1276.0
87.0	739.0
88.0	431.0
89.0	885.0
90.0	1036.0
91.0	775.0
92.0	948.0
93.0	789.0
94.0	354.0
95.0	979.0
96.0	1477.0
97.0	382.0
98.0	489.0
99.0	474.0
100.0	382.0
101.0	635.0
102.0	1183.0
103.0	239.0
104.0	576.0
105.0	384.0
106.0	1144.0
107.0	325.0
108.0	1518.0
109.0	519.0
110.0	635.0
111.0	249.0
112.0	388.0
113.0	606.0
114.0	357.0
115.0	233.0
116.0	1178.0
117.0	832.0
118.0	1228.0
119.0	605.0
120.0	672.0
121.0	316.0
122.0	1045.0
123.0	549.0
124.0	833.0
125.0	191.0
126.0	435.0
127.0	513.0
128.0	492.0
129.0	282.0
130.0	1028.0
131.0	312.0
132.0	923.0
133.0	200.0
134.0	972.0
135.0	286.0
136.0	455.0
137.0	231.0
138.0	485.0
139.0	678.0
140.0	748.0
141.0	161.0
142.0	375.0
143.0	404.0
144.0	524.0
145.0	351.0
146.0	490.0
147.0	472.0
148.0	511.0
149.0	528.0
150.0	415.0
151.0	304.0
152.0	303.0
153.0	598.0
154.0	464.0
155.0	442.0
156.0	683.0
157.0	153.0
158.0	227.0
159.0	212.0
160.0	301.0
161.0	196.0
162.0	376.0
163.0	360.0
164.0	167.0
165.0	196.0
166.0	131.0
167.0	295.0
168.0	290.0
169.0	155.0
170.0	269.0
171.0	112.0
172.0	204.0
173.0	119.0
174.0	430.0
175.0	507.0
176.0	443.0
177.0	157.0
178.0	280.0
179.0	298.0
180.0	101.0
181.0	120.0
182.0	238.0
183.0	177.0
184.0	71.0
185.0	145.0
186.0	464.0
187.0	339.0
188.0	189.0
189.0	119.0
190.0	276.0
191.0	167.0
192.0	427.0
193.0	182.0
194.0	62.0
195.0	16.0
196.0	129.0
197.0	89.0
198.0	27.0
199.0	65.0
200.0	43.0
201.0	115.0
202.0	190.0
203.0	78.0
204.0	105.0
205.0	162.0
206.0	169.0
207.0	139.0
208.0	42.0
209.0	24.0
210.0	130.0
211.0	40.0
212.0	182.0
213.0	324.0
214.0	158.0
215.0	109.0
216.0	78.0
217.0	98.0
218.0	83.0
219.0	34.0
220.0	64.0
221.0	13.0
222.0	12.0
223.0	171.0
224.0	174.0
225.0	51.0
226.0	245.0
227.0	146.0
228.0	47.0
229.0	120.0
230.0	192.0
231.0	35.0
232.0	61.0
233.0	124.0
234.0	181.0
235.0	12.0
236.0	7.0
237.0	63.0
238.0	20.0
239.0	6.0
240.0	11.0
241.0	101.0
242.0	106.0
243.0	165.0
244.0	112.0
245.0	128.0
246.0	105.0
247.0	52.0
248.0	196.0
249.0	60.0
250.0	248.0
251.0	68.0
252.0	13.0
253.0	46.0
254.0	139.0
255.0	11.0
256.0	24.0
257.0	66.0
258.0	9.0
259.0	28.0
260.0	10.0
261.0	109.0
262.0	181.0
263.0	50.0
264.0	83.0
265.0	124.0
266.0	72.0
267.0	53.0
268.0	4.0
269.0	53.0
270.0	46.0
271.0	11.0
272.0	24.0
273.0	11.0
274.0	139.0
275.0	86.0
276.0	14.0
277.0	116.0
278.0	114.0
279.0	33.0
280.0	11.0
281.0	3.0
282.0	105.0
283.0	1.0
284.0	1.0
285.0	11.0
286.0	101.0
287.0	145.0
288.0	6.0
289.0	64.0
290.0	12.0
291.0	21.0
292.0	79.0
293.0	13.0
298.0	3.0
299.0	6.0
300.0	4.0
304.0	2.0
305.0	1.0
306.0	2.0
307.0	4.0
308.0	67.0
309.0	16.0
310.0	8.0
311.0	221.0
312.0	54.0
313.0	88.0
314.0	23.0
315.0	93.0
316.0	49.0
317.0	86.0
318.0	114.0
319.0	21.0
320.0	105.0
321.0	18.0
322.0	147.0
323.0	100.0
324.0	4.0
325.0	6.0
326.0	2.0
327.0	18.0
328.0	67.0
329.0	15.0
330.0	43.0
331.0	122.0
332.0	33.0
333.0	13.0
334.0	59.0
335.0	37.0
336.0	89.0
337.0	6.0
338.0	119.0
339.0	91.0
340.0	51.0
341.0	94.0
342.0	3.0
343.0	15.0
344.0	8.0
345.0	75.0
346.0	25.0
347.0	72.0
348.0	191.0
349.0	18.0
350.0	143.0
351.0	7.0
352.0	120.0
356.0	1.0
359.0	2.0
360.0	2.0
361.0	2.0
362.0	2.0
363.0	150.0
364.0	28.0
365.0	5.0
366.0	2.0
369.0	1.0
370.0	4.0
371.0	8.0
372.0	15.0
373.0	27.0
374.0	101.0
375.0	82.0
377.0	2.0
378.0	1.0
379.0	11.0
380.0	81.0
386.0	35.0
387.0	4.0
388.0	31.0
389.0	6.0
395.0	1.0
396.0	1.0
398.0	35.0
399.0	63.0
423.0	2.0
425.0	1.0
426.0	6.0
427.0	15.0
428.0	75.0
447.0	2.0
448.0	1.0
449.0	1.0
450.0	2.0
451.0	24.0
452.0	6.0
453.0	34.0
454.0	1.0
456.0	4.0
457.0	3.0
458.0	4.0
459.0	83.0
460.0	2.0
461.0	3.0
462.0	9.0
463.0	6.0
464.0	2.0
466.0	22.0
467.0	28.0
468.0	15.0
469.0	58.0
470.0	8.0
471.0	7.0
