#Read position (bp)	Clipping profile
0.0	1.8825080792641256
1.0	1.8716875572890173
2.0	1.857292195576627
3.0	1.8524819518594648
4.0	1.8482755149954548
5.0	1.8424724005950757
6.0	1.834097422694659
7.0	1.8221501314454676
8.0	1.8113573997439354
9.0	1.801875863677491
10.0	1.797199518551195
11.0	1.62042306194548
12.0	1.5405563420764399
13.0	1.4716895177664988
14.0	1.4096641535332781
15.0	1.328660558836127
16.0	1.2367707560626882
17.0	1.1094559336453154
18.0	1.0624373171431578
19.0	1.0362538266575116
20.0	0.9894423740129211
21.0	0.9421205908899339
22.0	0.8861888757353874
23.0	0.8501196270221908
24.0	0.7879426794785553
25.0	0.7261800596500538
26.0	0.6919095995537792
27.0	0.6738130786787614
28.0	0.5989865038810127
29.0	0.5224849335031807
30.0	0.47719184035124484
31.0	0.44446247724418714
32.0	0.3836750433793539
33.0	0.31952246002331247
34.0	0.2598693745980832
35.0	0.19198531541733135
36.0	0.18610640936174483
37.0	0.18366339167555998
38.0	0.1818797613896794
39.0	0.1804371935522321
40.0	0.1794417964805084
41.0	0.17859040355367872
42.0	0.1778476453326463
43.0	0.17712257183116226
44.0	0.17619033447211138
45.0	0.1750433540899729
46.0	0.17435617641609255
47.0	0.17367152513071912
48.0	0.1713548268698799
49.0	0.17077628390179686
50.0	0.17027353258892117
51.0	0.16922002858153845
52.0	0.1553526820670931
53.0	0.1462273667801234
54.0	0.1459140946052662
55.0	0.13008121783244256
56.0	0.12925003601366816
57.0	0.1286891777651335
58.0	0.12803484314184302
59.0	0.12755482932552956
60.0	0.11604965606504783
61.0	0.11533974089460527
62.0	0.11494057151051303
63.0	0.11442013547808896
64.0	0.10409225926182868
65.0	0.10348339963166266
66.0	0.10313475801770866
67.0	0.10284422333941368
68.0	0.10246021228636291
69.0	0.10219746788164397
70.0	0.09210454579652659
71.0	0.0741040276847716
72.0	0.073308215305094
73.0	0.07222439463562833
74.0	0.07111278369258661
75.0	0.07070098236595981
76.0	0.07030181298186756
77.0	0.0698420102736094
78.0	0.06950600060218996
79.0	0.0692786256365678
80.0	0.06889208819501011
81.0	0.06865460767536029
82.0	0.06841712715571047
83.0	0.06813417164293621
84.0	0.06767942171169189
85.0	0.06726509399655815
86.0	0.06684318711590367
87.0	0.06646422883986673
88.0	0.06615600944202335
89.0	0.06588063309476984
90.0	0.06560778313602324
91.0	0.0652894581841522
92.0	0.06500144989436411
93.0	0.06477912770575578
94.0	0.06462501800683408
95.0	0.06434964165958057
96.0	0.06406921253531322
97.0	0.06379636257656662
98.0	0.06345782651664028
99.0	0.06255337943116544
100.0	0.062176947543635404
101.0	0.061780304548050065
102.0	0.062293161414953405
103.0	0.06128260601218821
104.0	0.0610476518810453
105.0	0.061345765724861036
106.0	0.06120934074548773
107.0	0.06107038937760752
108.0	0.0600168853702248
109.0	0.059445921567662464
110.0	0.05903664662954257
111.0	0.05920844104801264
112.0	0.058857273045551745
113.0	0.05858694947531205
114.0	0.058756217505275224
115.0	0.05929433825724769
116.0	0.05931454936530299
117.0	0.059266547983671654
118.0	0.05916549244339513
119.0	0.059286759091726954
120.0	0.05924633687561634
121.0	0.059344866027385944
122.0	0.05931960214231682
123.0	0.05918570355145043
124.0	0.05912507022728452
125.0	0.05898611885940431
126.0	0.05902906746402183
127.0	0.05895580219732135
128.0	0.05910233273072231
129.0	0.05897601330537665
130.0	0.059072016068639356
131.0	0.05915538688936747
132.0	0.05903159385252874
133.0	0.05896338136284209
134.0	0.05895074942030752
135.0	0.05886485221107249
136.0	0.05902148829850109
137.0	0.05893053831225222
138.0	0.05847578838100788
139.0	0.05846063004996641
140.0	0.05850610504309084
141.0	0.05860968697187427
142.0	0.058581896698298226
143.0	0.05849852587757011
144.0	0.058523789762639236
145.0	0.05849852587757011
146.0	0.05848842032354245
147.0	0.0583621008981968
148.0	0.058501052266077005
149.0	0.058546527259201446
150.0	0.05858694947531205
151.0	0.058842114714510264
152.0	0.058958328585828265
153.0	0.05902906746402183
154.0	0.05917307160891587
155.0	0.05982487984369941
156.0	0.059961304823072714
157.0	0.06002193814723863
158.0	0.060130572853035885
159.0	0.060216470062270926
160.0	0.060299840882999056
161.0	0.060451424193413844
162.0	0.060529742237128134
163.0	0.060747011648722656
164.0	0.060923858844206556
165.0	0.06116891852937712
166.0	0.06148976986975507
167.0	0.061734829554925624
168.0	0.06192683508145102
169.0	0.062146630881552443
170.0	0.062404322509257565
171.0	0.06254832665415161
172.0	0.06211884060797641
173.0	0.06190915036190263
174.0	0.06190915036190263
175.0	0.06231084613450179
176.0	0.06262664469786591
177.0	0.06327340015563564
178.0	0.062682225245018
179.0	0.06338961402695363
180.0	0.0809758044235749
181.0	0.09048765715210227
182.0	0.08914614485493148
183.0	0.08898950876750289
184.0	0.08922698928715271
185.0	0.08835791164077464
186.0	0.08889097961573328
187.0	0.09870852535359713
188.0	0.09879189617432525
189.0	0.09904958780203037
190.0	0.0994992849562609
191.0	0.11064318466025407
192.0	0.11104993320986704
193.0	0.11192911641027276
194.0	0.11225502052766455
195.0	0.11323273287983987
196.0	0.1290605568756497
197.0	0.13024038030837806
198.0	0.13940864419996526
199.0	0.1528793477188253
200.0	0.1534477851328807
201.0	0.1539379045032218
202.0	0.1544760252551943
203.0	0.15676745963096436
204.0	0.1575152706290106
205.0	0.1579220191786236
206.0	0.158780991270974
207.0	0.1597511244576286
208.0	0.16104210898466115
209.0	0.1620501379989194
210.0	0.16324764615119616
211.0	0.1652005444670399
212.0	0.16793662322002667
213.0	0.1715038837917878
