#Position (bp)	insert size
4011823.0	11107.438153161842
1.2035468E7	8357.113703645995
2.0059113E7	371.6495450785773
2.8082758E7	217.75925925925927
3.6106403E7	183.6
4.4130048E7	414.0
5.2153693E7	211.7
6.0177338E7	0.0
6.8200983E7	316.0
7.6224628E7	348.5
8.4248273E7	292.3754950703632
9.2271918E7	460.0
1.00295563E8	196.0
1.08319208E8	347.0
1.16342853E8	326.0
1.24366498E8	464.0
1.32390143E8	0.0
1.40413788E8	234.21238361872517
1.48437433E8	232.82342131640493
1.56461078E8	223.6
1.64484723E8	854.2588383513743
1.72508368E8	278.0
1.80532013E8	189.2
1.88555658E8	0.0
1.96579303E8	415.0
2.04602948E8	220.26666666666668
2.12626593E8	137.5
2.20650238E8	153.5
2.28673883E8	208.11764705882354
2.36697528E8	104.0
2.44721173E8	0.0
2.48844709E8	0.0
2.528565315E8	321.25
2.60768463E8	317.3333333333333
2.68792108E8	358.0
2.76815753E8	1891774.3823529412
2.84839398E8	7.841482181725888E7
2.92863043E8	225.25
3.00886688E8	293.25
3.08910333E8	414.5
3.16933978E8	2.874093142857143E7
3.24957623E8	235.76315789473685
3.32981268E8	295.3333333333333
3.41004913E8	281.22340034884786
3.49028558E8	7039194.0
3.57052203E8	202.66666666666666
3.65075848E8	304.75
3.73099493E8	19544.533392610156
3.81123138E8	267.8
3.89146783E8	0.0
3.97170428E8	0.0
4.05194073E8	0.0
4.13217718E8	94.0
4.21241363E8	488.0
4.29265008E8	0.0
4.37288653E8	346.0
4.45312298E8	202.5
4.53335943E8	0.0
4.61359588E8	406.6666666666667
4.69383233E8	217.2
4.77406878E8	215.89655172413794
4.85430523E8	294.3125
4.902961485E8	358.88
4.94307971E8	0.0
5.01477813E8	229.24
5.09501458E8	190.0
5.17525103E8	0.0
5.25548748E8	234.0
5.33572393E8	192.63636363636363
5.41596038E8	329.8071722126475
5.49619683E8	195.0
5.57643328E8	243.0
5.65666973E8	217.5
5.73690618E8	248.0
5.81714263E8	0.0
5.89737908E8	0.0
5.97761553E8	0.0
6.05785198E8	366.0
6.13808843E8	0.0
6.21832488E8	290.2215252887296
6.29856133E8	125.0
6.37879778E8	9181865.25
6.45903423E8	290.5536486486487
6.53927068E8	0.0
6.61950713E8	0.0
6.69974358E8	602.0
6.77998003E8	120.5
6.85727668E8	326.0
6.897394905E8	377.0
6.94045293E8	3155.56547126741
7.02068938E8	295.38461538461536
7.10092583E8	0.0
7.18116228E8	266.0
7.26139873E8	144.0
7.34163518E8	133.0
7.42187163E8	172.0
7.50210808E8	337.0
7.58234453E8	0.0
7.66258098E8	0.0
7.74281743E8	319.0
7.82305388E8	0.0
7.90329033E8	544.0
7.98352678E8	297.3333333333333
8.06376323E8	0.0
8.14399968E8	286.5
8.22423613E8	0.0
8.30447258E8	206.0
8.38470903E8	134.53846153846155
8.46494548E8	147.0
8.54518193E8	173.0
8.62541838E8	389.0
8.70565483E8	0.0
8.771186855E8	245.33333333333334
8.81130508E8	315.6666666666667
8.86612773E8	1931.2740696987596
8.94636418E8	204.33333333333334
9.02660063E8	411.0
9.10683708E8	0.0
9.18707353E8	324.0
9.26730998E8	393.0
9.34754643E8	282.0
9.42778288E8	297.0
9.50801933E8	596.0
9.58825578E8	243.0
9.66849223E8	161.0
9.74872868E8	0.0
9.82896513E8	301.0
9.90920158E8	264.0
9.98943803E8	0.0
1.006967448E9	305.5
1.014991093E9	303.15384615384613
1.023014738E9	421.5
1.031038383E9	335.5
1.039062028E9	0.0
1.047085673E9	300.0
1.055109318E9	243.41666666666666
1.0601597325E9	223.0
1.064171555E9	0.0
1.071156608E9	181.0
1.079180253E9	326.0
1.087203898E9	3108.0578868539296
1.095227543E9	3403.7419354838707
1.103251188E9	252.55555555555554
1.111274833E9	187.0
1.119298478E9	0.0
1.127322123E9	226.5
1.135345768E9	115.0
1.143369413E9	0.0
1.151393058E9	203.0
1.159416703E9	0.0
1.167440348E9	0.0
1.175463993E9	0.0
1.183487638E9	0.0
1.191511283E9	0.0
1.199534928E9	289.6277732128184
1.207558573E9	696.700827611749
1.215582218E9	0.0
1.223605863E9	212.73333333333332
1.2298109945E9	189.33333333333334
1.233822817E9	293.42857142857144
1.239653153E9	16426.615345671373
1.247676798E9	6.8216387E7
1.255700443E9	9369878.5
1.263724088E9	0.0
1.271747733E9	0.0
1.279771378E9	255.64285714285714
1.287795023E9	418.0
1.295818668E9	292.0
1.303842313E9	453.390243902439
1.311865958E9	1779.0128918442122
1.319889603E9	196.00582524271846
1.327913248E9	126.0
1.335936893E9	320.0
1.343960538E9	0.0
1.351984183E9	2091.281275399854
1.360007828E9	334.64
1.368031473E9	270.0
1.376055118E9	342.25754291405474
1.384078763E9	327.9
1.389720431E9	177.93333333333334
1.3937322535E9	196.07142857142858
1.400126053E9	215.54545454545453
1.408149698E9	234.0
1.416173343E9	389.3333333333333
1.424196988E9	290.6
1.432220633E9	372.0
1.440244278E9	239.75
1.448267923E9	152.0
1.456291568E9	364.54545454545456
1.464315213E9	548.0
1.472338858E9	556.5555555555555
1.480362503E9	737.0
1.488386148E9	263.0
