#Mapping quality	mapping quality
0.0	143428.0
1.0	4561.0
2.0	4183.0
3.0	6474.0
4.0	3193.0
5.0	4439.0
6.0	3225.0
7.0	1679.0
8.0	2030.0
9.0	1969.0
10.0	1685.0
11.0	1007.0
12.0	1107.0
13.0	1103.0
14.0	1046.0
15.0	806.0
16.0	1298.0
17.0	1182.0
18.0	712.0
19.0	638.0
20.0	682.0
21.0	916.0
22.0	1119.0
23.0	657.0
24.0	1164.0
25.0	933.0
26.0	1043.0
27.0	990.0
28.0	476.0
29.0	441.0
30.0	686.0
31.0	267.0
32.0	373.0
33.0	608.0
34.0	552.0
35.0	371.0
36.0	229.0
37.0	469.0
38.0	555.0
39.0	748.0
40.0	1908.0
41.0	516.0
42.0	1464.0
43.0	494.0
44.0	1182.0
45.0	3279.0
46.0	710.0
47.0	148.0
48.0	787.0
49.0	570.0
50.0	332.0
51.0	198.0
52.0	545.0
53.0	689.0
54.0	869.0
55.0	633.0
56.0	1349.0
57.0	1552.0
58.0	1968.0
59.0	113001.0
60.0	381178.0
