#Coverage (X)	Coverage
1.0	0.015185461561841862
2.0	0.010779296933037585
3.0	0.008273546684733901
4.0	0.007886098078799364
5.0	0.007063093054512137
6.0	0.006877734650274192
7.0	0.006495800994343881
8.0	0.006369954197452898
9.0	0.006097322488415102
10.0	0.006042017198865324
11.0	0.005871489959602627
12.0	0.005828585518074192
13.0	0.005696881034182866
14.0	0.005654849014121055
15.0	0.005574399291518262
16.0	0.005543303697734814
17.0	0.005455313761018488
18.0	0.005441386175419893
19.0	0.005400538155925005
20.0	0.005393091415527351
21.0	0.005328189489816282
22.0	0.005298309054509787
23.0	0.005240261868920015
24.0	0.005219946911864781
25.0	0.005204773009893415
26.0	0.005198946480803102
27.0	0.00515884625114893
28.0	0.005147037403403942
29.0	0.005118434442380249
30.0	0.005114259282493094
31.0	0.005101235276285365
32.0	0.00510045632854883
33.0	0.005087401164431071
34.0	0.005085282426577464
35.0	0.005068737576578997
36.0	0.005063658837315188
37.0	0.005042128721783001
38.0	0.005034588507655258
39.0	0.0050144916559560215
40.0	0.005007948494935022
41.0	0.004984237325729168
42.0	0.004966290369793569
43.0	0.004952113520928947
44.0	0.004947502150301375
45.0	0.004945352254537738
46.0	0.004938933725156858
47.0	0.004927000245771751
48.0	0.004915316029666883
49.0	0.004909177921476271
50.0	0.004901886970628766
51.0	0.004892757703117923
