#Insert size (bp)	insert size
1.0	1270.0
2.0	308.0
3.0	137.0
4.0	57.0
5.0	318.0
6.0	53.0
7.0	47.0
8.0	30.0
9.0	30.0
10.0	40.0
11.0	42.0
12.0	37.0
13.0	42.0
14.0	30.0
15.0	31.0
16.0	29.0
17.0	18.0
18.0	14.0
19.0	15.0
20.0	12.0
21.0	15.0
22.0	21.0
23.0	14.0
24.0	16.0
25.0	10.0
26.0	9.0
27.0	9.0
28.0	5.0
29.0	7.0
30.0	13.0
31.0	15.0
32.0	11.0
33.0	8.0
34.0	14.0
35.0	7.0
36.0	10.0
37.0	10.0
38.0	10.0
39.0	14.0
40.0	14.0
41.0	13.0
42.0	14.0
43.0	9.0
44.0	8.0
45.0	11.0
46.0	10.0
47.0	25.0
48.0	23.0
49.0	20.0
50.0	12.0
51.0	19.0
52.0	14.0
53.0	13.0
54.0	16.0
55.0	23.0
56.0	18.0
57.0	24.0
58.0	21.0
59.0	23.0
60.0	22.0
61.0	20.0
62.0	26.0
63.0	25.0
64.0	16.0
65.0	27.0
66.0	26.0
67.0	32.0
68.0	26.0
69.0	18.0
70.0	25.0
71.0	7.0
72.0	17.0
73.0	20.0
74.0	12.0
75.0	16.0
76.0	16.0
77.0	7.0
78.0	21.0
79.0	17.0
80.0	14.0
81.0	12.0
82.0	12.0
83.0	21.0
84.0	20.0
85.0	15.0
86.0	10.0
87.0	12.0
88.0	16.0
89.0	20.0
90.0	17.0
91.0	22.0
92.0	22.0
93.0	16.0
94.0	22.0
95.0	18.0
96.0	28.0
97.0	55.0
98.0	47.0
99.0	176.0
100.0	174.0
101.0	55.0
102.0	42.0
103.0	51.0
104.0	117.0
105.0	49.0
106.0	45.0
107.0	33.0
108.0	33.0
109.0	25.0
110.0	38.0
111.0	40.0
112.0	52.0
113.0	37.0
114.0	271.0
115.0	43.0
116.0	97.0
117.0	44.0
118.0	59.0
119.0	31.0
120.0	50.0
121.0	53.0
122.0	66.0
123.0	33.0
124.0	42.0
125.0	45.0
126.0	98.0
127.0	41.0
128.0	65.0
129.0	25.0
130.0	56.0
131.0	74.0
132.0	51.0
133.0	39.0
134.0	40.0
135.0	83.0
136.0	238.0
137.0	62.0
138.0	122.0
139.0	76.0
140.0	104.0
141.0	51.0
142.0	44.0
143.0	44.0
144.0	68.0
145.0	28.0
146.0	29.0
147.0	69.0
148.0	75.0
149.0	50.0
150.0	72.0
151.0	128.0
152.0	79.0
153.0	60.0
154.0	36.0
155.0	865.0
156.0	66.0
157.0	33.0
158.0	53.0
159.0	118.0
160.0	47.0
161.0	39.0
162.0	36.0
163.0	85.0
164.0	52.0
165.0	59.0
166.0	61.0
167.0	48.0
168.0	51.0
169.0	251.0
170.0	40.0
171.0	65.0
172.0	35.0
173.0	109.0
174.0	142.0
175.0	62.0
176.0	62.0
177.0	59.0
178.0	51.0
179.0	69.0
180.0	12091.0
181.0	5664.0
182.0	75.0
183.0	36.0
184.0	32.0
185.0	127.0
186.0	71.0
187.0	7470.0
188.0	48.0
189.0	36.0
190.0	68.0
191.0	6270.0
192.0	41.0
193.0	77.0
194.0	39.0
195.0	64.0
196.0	11612.0
197.0	70.0
198.0	8482.0
199.0	9489.0
200.0	156.0
201.0	37.0
202.0	51.0
203.0	800.0
204.0	36.0
205.0	50.0
206.0	86.0
207.0	149.0
208.0	169.0
209.0	70.0
210.0	118.0
211.0	109.0
212.0	141.0
213.0	145.0
214.0	135.0
215.0	367.0
216.0	44423.0
217.0	28689.0
218.0	33420.0
219.0	42266.0
220.0	18839.0
221.0	26716.0
222.0	44099.0
223.0	44970.0
224.0	9946.0
225.0	15544.0
226.0	30405.0
227.0	41885.0
228.0	12011.0
229.0	42037.0
230.0	34276.0
231.0	27503.0
232.0	11913.0
233.0	22133.0
234.0	79980.0
235.0	56187.0
236.0	41728.0
237.0	27177.0
238.0	42197.0
239.0	45637.0
240.0	102344.0
241.0	857.0
242.0	4892.0
243.0	49.0
