#Coverage (X)	Coverage
1.0	0.013920107694900707
2.0	0.009712824003102583
3.0	0.007448454080503097
4.0	0.007156909520332988
5.0	0.006491251939536369
6.0	0.006369331039252302
7.0	0.006058499733043732
8.0	0.006010485394341458
9.0	0.005813629721458824
10.0	0.0057746200186272745
11.0	0.005657403962700869
12.0	0.005618113838693262
13.0	0.0055050106268339505
14.0	0.005483823248297881
15.0	0.005409573949705759
16.0	0.005402563420048523
17.0	0.005350218131908946
18.0	0.005345824866651583
19.0	0.005297810527949309
20.0	0.005276934728513538
21.0	0.005239638710719419
22.0	0.005230104390378187
23.0	0.005196204584734687
24.0	0.005189692581623717
25.0	0.005157942671743854
26.0	0.005154452985863145
27.0	0.005148813404218799
28.0	0.005142924559308426
29.0	0.00511478896693518
30.0	0.005091140113549386
31.0	0.005078957370898252
32.0	0.005073161999717968
33.0	0.0050440605121480075
34.0	0.005028948925996701
35.0	0.005018978394929263
36.0	0.0050043653353242235
37.0	0.004994394804256785
38.0	0.004991777539856912
39.0	0.004980654166132581
40.0	0.004976042795505009
41.0	0.004972241530538213
42.0	0.004963330368397578
43.0	0.004954793101163091
44.0	0.004942672674332016
45.0	0.0049366280398714935
46.0	0.004929679826034317
47.0	0.004922856243837259
48.0	0.00491946003168664
49.0	0.004918057925749508
50.0	0.004917185504282884
51.0	0.004901357286200891
