#Duplication rate	Coverage
1.0	17768.0
2.0	4478.0
3.0	1720.0
4.0	923.0
5.0	542.0
6.0	429.0
7.0	292.0
8.0	236.0
9.0	187.0
10.0	189.0
11.0	127.0
12.0	121.0
13.0	101.0
14.0	101.0
15.0	72.0
16.0	76.0
17.0	77.0
18.0	67.0
19.0	56.0
20.0	59.0
21.0	49.0
22.0	51.0
23.0	31.0
24.0	33.0
25.0	32.0
26.0	39.0
27.0	32.0
28.0	26.0
29.0	36.0
30.0	24.0
31.0	28.0
32.0	21.0
33.0	23.0
34.0	24.0
35.0	18.0
36.0	24.0
37.0	21.0
38.0	22.0
39.0	24.0
40.0	11.0
41.0	19.0
42.0	9.0
43.0	14.0
44.0	17.0
45.0	12.0
46.0	17.0
47.0	18.0
48.0	9.0
49.0	12.0
50.0	1515.0
