#Mapping quality	mapping quality
0.0	43561.0
1.0	979.0
2.0	1073.0
3.0	3893.0
4.0	905.0
5.0	1723.0
6.0	1093.0
7.0	923.0
8.0	377.0
9.0	371.0
10.0	345.0
11.0	625.0
12.0	446.0
13.0	316.0
14.0	572.0
15.0	699.0
16.0	1221.0
17.0	478.0
18.0	147.0
19.0	95.0
20.0	218.0
21.0	175.0
22.0	116.0
23.0	141.0
24.0	350.0
25.0	292.0
26.0	466.0
27.0	695.0
28.0	112.0
29.0	227.0
30.0	84.0
31.0	190.0
32.0	357.0
33.0	89.0
34.0	50.0
35.0	107.0
36.0	39.0
37.0	63.0
38.0	242.0
39.0	156.0
40.0	491.0
41.0	421.0
42.0	671.0
43.0	573.0
44.0	539.0
45.0	2005.0
46.0	153.0
47.0	71.0
48.0	111.0
49.0	290.0
50.0	170.0
51.0	235.0
52.0	94.0
53.0	281.0
54.0	113.0
55.0	354.0
56.0	1457.0
57.0	1037.0
58.0	1048.0
59.0	62654.0
60.0	168522.0
