#Position (bp)	mapping quality
4011823.0	59.981046869600135
1.2035468E7	59.984472273631965
2.0059113E7	59.98067699570293
2.8082758E7	58.665317529151004
3.6106403E7	56.84734364492266
4.4130048E7	44.86261448792673
5.2153693E7	58.88357256778309
6.0177338E7	12.582159624413146
6.8200983E7	34.98567335243553
7.6224628E7	0.27876106194690264
8.4248273E7	59.97829883139282
9.2271918E7	3.651315789473684
1.00295563E8	52.55865921787709
1.08319208E8	3.9504950495049505
1.16342853E8	24.76691729323308
1.24366498E8	1.3865546218487395
1.32390143E8	0.0
1.40413788E8	11.724605126106592
1.48437433E8	7.873611136435591E-5
1.56461078E8	52.131147540983605
1.64484723E8	59.98060904383866
1.72508368E8	0.0
1.80532013E8	0.0
1.88555658E8	28.54263565891473
1.96579303E8	0.44146341463414634
2.04602948E8	54.98433179723502
2.12626593E8	7.398148148148148
2.20650238E8	47.72428884026258
2.28673883E8	52.523456790123454
2.36697528E8	53.574814814814815
2.44721173E8	0.958904109589041
2.48844709E8	0.0
2.528565315E8	46.32862745098039
2.60768463E8	58.97350302524515
2.68792108E8	40.168067226890756
2.76815753E8	53.822098679638636
2.84839398E8	2.170633155559574
2.92863043E8	52.843511450381676
3.00886688E8	8.792880258899677
3.08910333E8	40.37482900136799
3.16933978E8	0.0
3.24957623E8	58.44474761255116
3.32981268E8	0.0
3.41004913E8	38.09699538269063
3.49028558E8	57.69779341221618
3.57052203E8	36.82600382409178
3.65075848E8	38.455525606469
3.73099493E8	59.983826388624145
3.81123138E8	41.08191653786708
3.89146783E8	2.278481012658228
3.97170428E8	32.593128390596746
4.05194073E8	4.6056985294117645
4.13217718E8	52.74633123689728
4.21241363E8	60.0
4.29265008E8	52.527472527472526
4.37288653E8	57.08701563562202
4.45312298E8	4.559322033898305
4.53335943E8	0.0
4.61359588E8	0.39263803680981596
4.69383233E8	50.615199034981906
4.77406878E8	57.30760368663594
4.85430523E8	54.355283307810105
4.902961485E8	59.47818126335063
4.94307971E8	0.0
5.01477813E8	57.396502103165815
5.09501458E8	54.60674157303371
5.17525103E8	53.26501035196687
5.25548748E8	1.2111801242236024
5.33572393E8	48.810722100656456
5.41596038E8	59.97252010343819
5.49619683E8	6.129353233830845
5.57643328E8	0.0
5.65666973E8	37.046894803548795
5.73690618E8	2.967032967032967
5.81714263E8	10.758620689655173
5.89737908E8	43.225531914893615
5.97761553E8	52.48761354252684
6.05785198E8	0.0
6.13808843E8	0.9281437125748503
6.21832488E8	59.986420119292326
6.29856133E8	49.84848484848485
6.37879778E8	58.904761904761905
6.45903423E8	59.97967752559023
6.53927068E8	51.36395759717315
6.61950713E8	0.0
6.69974358E8	0.0
6.77998003E8	45.37021572720946
6.85727668E8	55.26151560178306
6.897394905E8	0.0
6.94045293E8	59.869511824873115
7.02068938E8	28.63430420711974
7.10092583E8	8.64
7.18116228E8	0.0
7.26139873E8	38.10732984293194
7.34163518E8	0.0
7.42187163E8	0.562942008486563
7.50210808E8	40.055632823365784
7.58234453E8	8.369565217391305
7.66258098E8	49.859888406695596
7.74281743E8	2.749052312357847
7.82305388E8	51.65009940357853
7.90329033E8	48.021989528795814
7.98352678E8	1.1635220125786163
8.06376323E8	1.3157894736842106
8.14399968E8	1.256198347107438
8.22423613E8	2.0190146931719966
8.30447258E8	13.83248730964467
8.38470903E8	51.552594670406734
8.46494548E8	57.656565656565654
8.54518193E8	28.761415525114156
8.62541838E8	0.0
8.70565483E8	42.94736842105263
8.771186855E8	47.46444249341528
8.81130508E8	60.0
8.86612773E8	59.986036470354406
8.94636418E8	53.23761665470208
9.02660063E8	0.0
9.10683708E8	7.5829383886255926
9.18707353E8	1.7972972972972974
9.26730998E8	0.0
9.34754643E8	59.656568598893095
9.42778288E8	2.641304347826087
9.50801933E8	8.088235294117647
9.58825578E8	21.036529680365298
9.66849223E8	5.117521367521367
9.74872868E8	0.4298245614035088
9.82896513E8	0.0
9.90920158E8	57.96
9.98943803E8	0.0
1.006967448E9	0.0
1.014991093E9	50.45501618122977
1.023014738E9	44.81430745814308
1.031038383E9	54.476670870113495
1.039062028E9	2.0186046511627906
1.047085673E9	0.0
1.055109318E9	53.95865237366003
1.0601597325E9	0.0
1.064171555E9	0.4806201550387597
1.071156608E9	6.793532338308458
1.079180253E9	36.15874294923449
1.087203898E9	59.97989573501356
1.095227543E9	55.417934093789604
1.103251188E9	58.010324760653276
1.111274833E9	54.679802955665025
1.119298478E9	5.609302325581395
1.127322123E9	45.064661654135335
1.135345768E9	0.11891891891891893
1.143369413E9	55.49636803874092
1.151393058E9	14.833333333333334
1.159416703E9	3.878787878787879
1.167440348E9	0.0
1.175463993E9	1.30635838150289
1.183487638E9	11.333333333333334
1.191511283E9	11.96797153024911
1.199534928E9	59.97691764811187
1.207558573E9	59.9788930976
1.215582218E9	1.4114713216957606
1.223605863E9	51.205026455026456
1.2298109945E9	52.50160707111289
1.233822817E9	55.537601078167114
1.239653153E9	59.66927514335644
1.247676798E9	0.2215568862275449
1.255700443E9	47.855711422845694
1.263724088E9	20.721505376344087
1.271747733E9	38.591603053435115
1.279771378E9	58.66822429906542
1.287795023E9	56.96252465483235
1.295818668E9	54.775310500564544
1.303842313E9	9.46644074178669
1.311865958E9	59.984704094262675
1.319889603E9	59.64230050879114
1.327913248E9	49.764201062525544
1.335936893E9	26.351478917558214
1.343960538E9	9.141065830721002
1.351984183E9	59.949824808556905
1.360007828E9	46.047630445189085
1.368031473E9	32.32204301075269
1.376055118E9	59.9859127025735
1.384078763E9	56.51847340641494
1.389720431E9	59.37928503070183
1.3937322535E9	52.49170124481328
1.400126053E9	56.93087958266918
1.408149698E9	8.12531969309463
1.416173343E9	46.55172413793103
1.424196988E9	56.514215080346105
1.432220633E9	36.317355371900824
1.440244278E9	0.0
1.448267923E9	43.66403162055336
1.456291568E9	55.97407548608464
1.464315213E9	58.55421686746988
1.472338858E9	54.15759128763613
1.480362503E9	6.831081081081081
1.488386148E9	48.00693703308431
1.496409793E9	59.985127273679794
1.504433438E9	31.166666666666668
1.512457083E9	40.778699861687414
1.520480728E9	51.20069354139575
1.528504373E9	58.14311247287119
1.534502554E9	59.27665570690465
1.5385143765E9	0.0
1.544551663E9	49.72304199772985
1.552575308E9	2.893617021276596
1.560598953E9	0.0
1.568622598E9	53.153310104529616
1.576646243E9	33.21570774437587
1.584669888E9	0.0
1.592693533E9	0.0
1.600717178E9	26.2698376269436
1.608740823E9	2.3485915492957745
1.616764468E9	59.948519972541774
1.624788113E9	58.73632624485867
1.632811758E9	52.604651162790695
1.640835403E9	2.923076923076923
1.648859048E9	55.15748031496063
1.656882693E9	52.0910724985021
1.664906338E9	59.96380690909684
1.671900895E9	57.863324538258574
1.6759127175E9	59.11600928074246
1.680953628E9	55.56818181818182
1.688977273E9	4.304932735426009
1.697000918E9	46.354745925215724
1.705024563E9	53.82270606531882
1.713048208E9	0.0
1.721071853E9	54.39037725533078
1.729095498E9	0.6086956521739131
1.737119143E9	4.102941176470588
1.745142788E9	55.563882469461866
1.753166433E9	59.225280326197755
1.761190078E9	57.88381742738589
