#Coverage (X)	Coverage
1.0	0.02958147516804388
2.0	0.019117683227662496
3.0	0.013569550053944113
4.0	0.012427737298580155
5.0	0.010617774329659824
6.0	0.010196301286441667
7.0	0.00939280111356311
8.0	0.009154100368078844
9.0	0.008580358620619677
10.0	0.008413975383334105
11.0	0.007925232413285244
12.0	0.007830917420918126
13.0	0.0075143530593351215
14.0	0.007442222498596607
15.0	0.007215891443223654
16.0	0.007155413940679978
17.0	0.006978281224576222
18.0	0.0068929708680798285
19.0	0.006772514389552953
20.0	0.0067288310002879825
21.0	0.006606442731367679
22.0	0.006553443127131686
23.0	0.006472027509332179
24.0	0.006444546233055348
25.0	0.006369112933896304
26.0	0.0063269874401044035
27.0	0.0062625528830437815
28.0	0.006235570133327428
29.0	0.0061879608474555425
30.0	0.0061561174638455896
31.0	0.006115830286731239
32.0	0.006107199545766662
33.0	0.006051800782486794
34.0	0.006031267720061351
35.0	0.005993597807346873
36.0	0.005981757801691856
37.0	0.005951783892655271
38.0	0.005935020937286595
39.0	0.005896727866385731
40.0	0.005884140070904209
41.0	0.005863856271744794
42.0	0.005855225530780217
43.0	0.005816309301678757
44.0	0.005805715612410722
45.0	0.005783531180767909
46.0	0.0057725012807736675
47.0	0.005751532007607807
48.0	0.005743399793203707
49.0	0.005728475154498369
50.0	0.005699498298568528
51.0	0.005689278504220852
