Sample	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
NS.2150.TSP0006---TSP200X.BS_028_R2	1366.0	872.0	1303.0	1339.0	786.0	549.0	648.0	735.0	582.0	627.0	694.0	1962.0	1290.0	618.0	868.0	716.0	1522.0	774.0	868.0	942.0	702.0	791.0	693.0	755.0	758.0	834.0	867.0	1224.0	777.0	734.0	774.0	1049.0	9824.0	4302.0	4308.0	13003.0	1479.0	1623.0	1776.0	74689.0	71883.0	80054.0	85342.0	123990.0	76568.0	121519.0	470341.0
NS.2150.TSP0007---TSP200X.BS_029_R1	16.0	17.0	17.0	17.0	11.0	8.0	30.0	13.0	14.0	10.0	8.0	12.0	4.0	6.0	3.0	8.0	10.0	9.0	9.0	11.0	10.0	16.0	8.0	11.0	13.0	10.0	15.0	36.0	6.0	11.0	14.0	14.0	55.0	35.0	30.0	97.0	17.0	19.0	23.0	859.0	807.0	1873.0	1896.0	1848.0	742.0	1700.0	7039.0
NS.2150.TSP0007---TSP200X.BS_029_R2	14.0	12.0	9.0	8.0	10.0	6.0	7.0	7.0	5.0	22.0	10.0	18.0	10.0	1.0	12.0	9.0	13.0	10.0	11.0	3.0	10.0	14.0	9.0	10.0	3.0	7.0	8.0	31.0	9.0	7.0	10.0	11.0	49.0	26.0	16.0	96.0	13.0	12.0	17.0	883.0	790.0	1924.0	1908.0	1886.0	754.0	1583.0	7088.0
NS.2150.TSP0008---TSP200X.BS_031_R1	122.0	72.0	102.0	92.0	82.0	50.0	385.0	67.0	41.0	57.0	69.0	85.0	76.0	69.0	58.0	76.0	63.0	71.0	116.0	78.0	62.0	74.0	79.0	57.0	79.0	65.0	101.0	107.0	93.0	101.0	85.0	112.0	983.0	553.0	468.0	1532.0	122.0	132.0	162.0	8046.0	5814.0	5856.0	8266.0	10616.0	6157.0	10060.0	46918.0
NS.2150.TSP0008---TSP200X.BS_031_R2	84.0	78.0	112.0	71.0	70.0	48.0	41.0	52.0	35.0	48.0	70.0	273.0	99.0	50.0	81.0	47.0	99.0	72.0	74.0	52.0	44.0	46.0	46.0	59.0	56.0	53.0	68.0	73.0	62.0	64.0	67.0	65.0	949.0	524.0	420.0	1551.0	124.0	115.0	97.0	8015.0	5680.0	5941.0	8254.0	10774.0	6070.0	10772.0	46176.0
NS.2150.TSP0009---TSP200X.BS_033_R1	1514.0	1328.0	1353.0	1665.0	1014.0	981.0	5534.0	813.0	872.0	1053.0	1148.0	1091.0	1107.0	1020.0	983.0	1061.0	1202.0	1174.0	1427.0	1133.0	1014.0	1123.0	1342.0	1288.0	1304.0	1340.0	1343.0	1657.0	1362.0	1508.0	1320.0	1675.0	13153.0	6901.0	6397.0	19843.0	2754.0	2071.0	2899.0	113211.0	101144.0	108620.0	130277.0	170090.0	100661.0	149870.0	664442.0
NS.2150.TSP0009---TSP200X.BS_033_R2	1123.0	967.0	1277.0	1283.0	863.0	626.0	636.0	704.0	526.0	669.0	1022.0	2221.0	1192.0	567.0	902.0	772.0	1524.0	843.0	973.0	762.0	732.0	902.0	742.0	757.0	825.0	962.0	905.0	1311.0	760.0	803.0	873.0	1106.0	12941.0	6623.0	5849.0	20038.0	2309.0	1713.0	1729.0	113959.0	99491.0	111034.0	129746.0	172244.0	98476.0	156297.0	663640.0
NS.2150.TSP0010---TSP200X.BS_034_R1	1616.0	1568.0	3598.0	2937.0	1196.0	990.0	6316.0	1336.0	947.0	1170.0	1195.0	1256.0	1225.0	1067.0	993.0	931.0	1336.0	1219.0	1389.0	1803.0	1092.0	1111.0	1372.0	1280.0	1329.0	1390.0	1405.0	1944.0	1296.0	1518.0	1393.0	1751.0	16465.0	8996.0	6888.0	17781.0	1981.0	2102.0	2750.0	105279.0	117699.0	106694.0	147882.0	196279.0	103838.0	172383.0	811394.0
NS.2150.TSP0010---TSP200X.BS_034_R2	1666.0	1515.0	3672.0	2734.0	1100.0	866.0	883.0	893.0	704.0	869.0	953.0	2443.0	1219.0	796.0	1093.0	855.0	1079.0	1002.0	1062.0	1534.0	958.0	1011.0	916.0	943.0	1091.0	983.0	1059.0	1618.0	909.0	1030.0	1035.0	1367.0	16430.0	7792.0	6375.0	17812.0	2030.0	2007.0	2026.0	105136.0	117100.0	110805.0	146301.0	198892.0	103011.0	193231.0	783909.0
NS.2150.TSP0011---TSP200X.BS_036_R1	667.0	598.0	619.0	745.0	457.0	406.0	3534.0	413.0	422.0	471.0	478.0	515.0	475.0	424.0	421.0	428.0	546.0	451.0	651.0	478.0	454.0	511.0	578.0	575.0	579.0	642.0	584.0	785.0	586.0	638.0	578.0	708.0	7924.0	5112.0	4963.0	12245.0	846.0	795.0	1113.0	48375.0	46811.0	45904.0	59307.0	73755.0	37276.0	53565.0	262114.0
