#Duplication rate	Coverage
1.0	12141.0
2.0	2744.0
3.0	944.0
4.0	574.0
5.0	387.0
6.0	304.0
7.0	199.0
8.0	190.0
9.0	137.0
10.0	107.0
11.0	90.0
12.0	106.0
13.0	72.0
14.0	84.0
15.0	67.0
16.0	57.0
17.0	49.0
18.0	45.0
19.0	40.0
20.0	37.0
21.0	27.0
22.0	31.0
23.0	27.0
24.0	29.0
25.0	18.0
26.0	19.0
27.0	19.0
28.0	34.0
29.0	22.0
30.0	31.0
31.0	16.0
32.0	19.0
33.0	15.0
34.0	21.0
35.0	16.0
36.0	10.0
37.0	22.0
38.0	11.0
39.0	10.0
40.0	10.0
41.0	16.0
42.0	11.0
43.0	10.0
44.0	13.0
45.0	4.0
46.0	8.0
47.0	9.0
48.0	7.0
49.0	8.0
50.0	1296.0
