#Mapping quality	mapping quality
0.0	87569.0
1.0	2047.0
2.0	2568.0
3.0	5277.0
4.0	1814.0
5.0	2995.0
6.0	2489.0
7.0	1309.0
8.0	1627.0
9.0	1022.0
10.0	815.0
11.0	768.0
12.0	1040.0
13.0	416.0
14.0	783.0
15.0	433.0
16.0	1095.0
17.0	1359.0
18.0	515.0
19.0	699.0
20.0	633.0
21.0	248.0
22.0	409.0
23.0	551.0
24.0	805.0
25.0	1241.0
26.0	409.0
27.0	370.0
28.0	274.0
29.0	226.0
30.0	648.0
31.0	133.0
32.0	204.0
33.0	442.0
34.0	232.0
35.0	286.0
36.0	456.0
37.0	567.0
38.0	276.0
39.0	202.0
40.0	1028.0
41.0	523.0
42.0	841.0
43.0	570.0
44.0	856.0
45.0	2198.0
46.0	241.0
47.0	412.0
48.0	424.0
49.0	390.0
50.0	349.0
51.0	707.0
52.0	778.0
53.0	421.0
54.0	397.0
55.0	1030.0
56.0	781.0
57.0	1591.0
58.0	2187.0
59.0	90436.0
60.0	270308.0
