#Duplication rate	Coverage
1.0	28396.0
2.0	8598.0
3.0	3460.0
4.0	2029.0
5.0	1146.0
6.0	866.0
7.0	581.0
8.0	453.0
9.0	373.0
10.0	336.0
11.0	244.0
12.0	232.0
13.0	173.0
14.0	168.0
15.0	114.0
16.0	142.0
17.0	129.0
18.0	127.0
19.0	101.0
20.0	82.0
21.0	86.0
22.0	76.0
23.0	77.0
24.0	65.0
25.0	66.0
26.0	62.0
27.0	58.0
28.0	38.0
29.0	45.0
30.0	39.0
31.0	39.0
32.0	49.0
33.0	51.0
34.0	35.0
35.0	28.0
36.0	30.0
37.0	41.0
38.0	30.0
39.0	27.0
40.0	31.0
41.0	13.0
42.0	27.0
43.0	23.0
44.0	26.0
45.0	19.0
46.0	17.0
47.0	27.0
48.0	16.0
49.0	19.0
50.0	2207.0
