Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0298---TSP200X.BS_415_R1	NS.2150.TSP0298---TSP200X.BS_415_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92758.0	0.0	20-251	49.0	11.25509390025658	234.97165743116497	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0298---TSP200X.BS_415_R2	NS.2150.TSP0298---TSP200X.BS_415_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	92165.0	0.0	20-251	49.0	11.043237671567297	236.03955948570498	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0299---TSP200X.BS_416_R1	NS.2150.TSP0299---TSP200X.BS_416_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1264890.0	0.0	20-251	47.0	5.883199329585972	233.12363525682076	237	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0299---TSP200X.BS_416_R2	NS.2150.TSP0299---TSP200X.BS_416_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1256121.0	0.0	20-251	47.0	5.938918304844836	234.27539544359183	237	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0300---TSP200X.BS_417_R1	NS.2150.TSP0300---TSP200X.BS_417_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4355671.0	0.0	20-251	48.0	4.191079657313852	234.81274595808546	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0300---TSP200X.BS_417_R2	NS.2150.TSP0300---TSP200X.BS_417_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4324630.0	0.0	20-251	48.0	4.542980123291049	235.81542698450502	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0301---TSP200X.BS_418_R1	NS.2150.TSP0301---TSP200X.BS_418_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1981296.0	0.0	20-251	47.0	4.833906695415526	233.2996387213218	237	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0301---TSP200X.BS_418_R2	NS.2150.TSP0301---TSP200X.BS_418_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1966381.0	0.0	20-251	47.0	5.26601543058497	234.25406978606892	237	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0302---TSP200X.BS_419_R1	NS.2150.TSP0302---TSP200X.BS_419_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3555675.0	0.0	20-251	48.0	4.628630100034589	234.00824484802465	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0302---TSP200X.BS_419_R2	NS.2150.TSP0302---TSP200X.BS_419_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3535337.0	0.0	20-251	48.0	4.392323804476642	235.57254796360291	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0303---TSP200X.BS_420_R1	NS.2150.TSP0303---TSP200X.BS_420_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	709635.0	0.0	20-251	48.0	6.8669104539657715	233.9071424041937	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0303---TSP200X.BS_420_R2	NS.2150.TSP0303---TSP200X.BS_420_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	704497.0	0.0	20-251	48.0	7.191797835902778	235.0471598885446	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0304---TSP200X.BS_421_R1	NS.2150.TSP0304---TSP200X.BS_421_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1616988.0	0.0	20-251	49.0	6.004064346797874	234.17217134573664	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0304---TSP200X.BS_421_R2	NS.2150.TSP0304---TSP200X.BS_421_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1606954.0	0.0	20-251	49.0	5.818212593515434	235.693308582573	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0305---TSP200X.BS_422_R1	NS.2150.TSP0305---TSP200X.BS_422_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2786264.0	0.0	20-251	47.0	4.646931353699837	234.4359367956518	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0305---TSP200X.BS_422_R2	NS.2150.TSP0305---TSP200X.BS_422_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2766603.0	0.0	20-251	47.0	4.940900928629034	235.6573751275481	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0306---TSP200X.BS_423_R1	NS.2150.TSP0306---TSP200X.BS_423_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3627864.0	0.0	20-251	48.0	4.512408915792757	234.40396056743032	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0306---TSP200X.BS_423_R2	NS.2150.TSP0306---TSP200X.BS_423_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3605266.0	0.0	20-251	48.0	4.529695989271886	235.5904110820117	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0307---TSP200X.BS_424_R1	NS.2150.TSP0307---TSP200X.BS_424_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	877309.0	0.0	20-251	48.0	6.925610018818911	234.6092961544906	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0307---TSP200X.BS_424_R2	NS.2150.TSP0307---TSP200X.BS_424_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	870585.0	0.0	20-251	49.0	7.146229259635763	235.523186133462	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0308---TSP200X.BS_425_R1	NS.2150.TSP0308---TSP200X.BS_425_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2357225.0	0.0	20-251	49.0	5.165791510444484	234.50257188007083	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0308---TSP200X.BS_425_R2	NS.2150.TSP0308---TSP200X.BS_425_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2339419.0	0.0	20-251	49.0	5.550290352692705	235.63157476279366	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0309---TSP200X.BS_426_R1	NS.2150.TSP0309---TSP200X.BS_426_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3992043.0	0.0	20-251	48.0	4.005090770582745	234.39858914345362	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0309---TSP200X.BS_426_R2	NS.2150.TSP0309---TSP200X.BS_426_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3962152.0	0.0	20-251	48.0	4.429875044928557	235.32711541606682	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0310---TSP200X.BS_427_R1	NS.2150.TSP0310---TSP200X.BS_427_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2395049.0	0.0	20-251	49.0	5.054557178964452	234.72580811499054	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0310---TSP200X.BS_427_R2	NS.2150.TSP0310---TSP200X.BS_427_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2378866.0	0.0	20-251	49.0	5.257671637580839	235.69330386831373	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0311---TSP200X.BS_428_R1	NS.2150.TSP0311---TSP200X.BS_428_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	150672.0	0.0	20-251	48.0	10.324413295104598	234.3177697249655	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0311---TSP200X.BS_428_R2	NS.2150.TSP0311---TSP200X.BS_428_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	149735.0	0.0	20-251	49.0	10.062443650449126	235.81902026914216	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0312---TSP200X.BS_429_R1	NS.2150.TSP0312---TSP200X.BS_429_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2407122.0	0.0	20-251	48.0	4.241047378208315	235.21777126377475	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0312---TSP200X.BS_429_R2	NS.2150.TSP0312---TSP200X.BS_429_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2376933.0	0.0	20-251	48.0	5.910288533063025	235.39797587900037	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0313---TSP200X.BS_430_R1	NS.2150.TSP0313---TSP200X.BS_430_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2201181.0	0.0	20-251	48.0	5.23536705308245	233.9968875798946	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
