#Mapping quality	mapping quality
0.0	72484.0
1.0	2041.0
2.0	2263.0
3.0	4458.0
4.0	1839.0
5.0	2228.0
6.0	1674.0
7.0	1201.0
8.0	767.0
9.0	1201.0
10.0	708.0
11.0	494.0
12.0	1301.0
13.0	648.0
14.0	571.0
15.0	763.0
16.0	651.0
17.0	1112.0
18.0	587.0
19.0	346.0
20.0	346.0
21.0	175.0
22.0	114.0
23.0	189.0
24.0	191.0
25.0	143.0
26.0	627.0
27.0	464.0
28.0	43.0
29.0	210.0
30.0	390.0
31.0	214.0
32.0	59.0
33.0	209.0
34.0	30.0
35.0	11.0
36.0	203.0
37.0	182.0
38.0	36.0
39.0	253.0
40.0	701.0
41.0	615.0
42.0	1003.0
43.0	487.0
44.0	341.0
45.0	2019.0
46.0	368.0
47.0	89.0
48.0	373.0
49.0	147.0
50.0	239.0
51.0	240.0
52.0	241.0
53.0	217.0
54.0	339.0
55.0	455.0
56.0	1067.0
57.0	761.0
58.0	1271.0
59.0	78994.0
60.0	161137.0
