#Read position (bp)	Clipping profile
0.0	1.8836593711844745
1.0	1.8734744662268161
2.0	1.8652837117763543
3.0	1.8615026550409994
4.0	1.8578367340162216
5.0	1.8533648630174033
6.0	1.8449783778589608
7.0	1.837314944962943
8.0	1.8277494701281896
9.0	1.820058404661633
10.0	1.8167770369101832
11.0	1.650599363119909
12.0	1.566994718241386
13.0	1.4915946440985937
14.0	1.4249633056733606
15.0	1.348025018437257
16.0	1.2502425621582585
17.0	1.134275571750698
18.0	1.0905999913003457
19.0	1.058587658331463
20.0	1.0087592255078655
21.0	0.9601235986458475
22.0	0.8958732667153506
23.0	0.866647217942436
24.0	0.8005731363563964
25.0	0.7302966013342893
26.0	0.6945722930563979
27.0	0.6758258966602193
28.0	0.6043243176775709
29.0	0.5344622712135417
30.0	0.4851197110885799
31.0	0.4416674939167472
32.0	0.38675697082827226
33.0	0.31848609988441984
34.0	0.2607110003167844
35.0	0.18081602803305857
36.0	0.17469771637298656
37.0	0.1722913800219232
38.0	0.17051368465061137
39.0	0.16911593712420422
40.0	0.16818103515431743
41.0	0.16746489103452727
42.0	0.16668196820260237
43.0	0.16600497022440847
44.0	0.16514375510929108
45.0	0.1641466798556926
46.0	0.16351343344751804
47.0	0.16292163589515127
48.0	0.16128901151916666
49.0	0.16085379853318485
50.0	0.16036332040612603
51.0	0.15943532657887385
52.0	0.146213141576189
53.0	0.13356202969796702
54.0	0.1332396497083509
55.0	0.11773317220781453
56.0	0.11696406566115887
57.0	0.11635384639509974
58.0	0.11566994027427122
59.0	0.11520479200353936
60.0	0.10350239838047347
61.0	0.10301652568183771
62.0	0.10273098911960626
63.0	0.10231880327573992
64.0	0.08870745957130416
65.0	0.08815941358895671
66.0	0.08788999602620609
67.0	0.0875860377502823
68.0	0.08729589575962778
69.0	0.08698042391264627
70.0	0.07671722667179527
71.0	0.0589057322455035
72.0	0.05828630212259821
73.0	0.057786613138693196
74.0	0.05738363815167302
75.0	0.05712112873155702
76.0	0.056955333308325855
77.0	0.056547752892882594
78.0	0.05637965475543989
79.0	0.05618622676167021
80.0	0.05602503676686214
81.0	0.05584312234415017
82.0	0.05570035406303445
83.0	0.05550001792663014
84.0	0.05507862122591761
85.0	0.05483453351949396
86.0	0.054555905099897155
87.0	0.05433714724980049
88.0	0.05408384868653066
89.0	0.05387660440749172
90.0	0.05371080898426056
91.0	0.053434483278875296
92.0	0.05325026614195178
93.0	0.05301078386395123
94.0	0.05284498844072007
95.0	0.05264234959010421
96.0	0.05240286731210364
97.0	0.05219792574727624
98.0	0.0520068004677181
99.0	0.051150190781023785
100.0	0.050933735645138666
101.0	0.05066201536817649
102.0	0.051781134474986806
103.0	0.05140579205850515
104.0	0.05137125134533199
105.0	0.051946929898217954
106.0	0.051921600041890975
107.0	0.05188475661450627
108.0	0.051451846342736036
109.0	0.05115479620944688
110.0	0.051005119785696516
111.0	0.05134131606058192
112.0	0.05104656864150431
113.0	0.050758729365061324
114.0	0.050889984075119334
115.0	0.051467965342216836
116.0	0.05152092776908235
117.0	0.05158310105279403
118.0	0.05150250605538999
119.0	0.051741988333390554
120.0	0.051753501904448274
121.0	0.05185251861554466
122.0	0.05185712404396775
123.0	0.05183409690185231
124.0	0.051799556188679145
125.0	0.05162454990860182
126.0	0.05170053947758277
127.0	0.05168902590652505
128.0	0.05181337247394842
129.0	0.051730474762332834
130.0	0.05185942675817929
131.0	0.05189396747135245
132.0	0.05186633490081393
133.0	0.05181567518815996
134.0	0.051831794187640765
135.0	0.05172586933390974
136.0	0.0518755457576601
137.0	0.05188705932871782
138.0	0.05170284219179431
139.0	0.05172126390548666
140.0	0.051748896476025194
141.0	0.05181337247394842
142.0	0.05188245390029473
143.0	0.05191699461346788
144.0	0.05197686518296803
145.0	0.05196535161191031
146.0	0.05197456246875649
147.0	0.05186172947239083
148.0	0.051919297327679435
149.0	0.05200219503929502
150.0	0.05217720131937235
151.0	0.052340694028391956
152.0	0.052448921596334526
153.0	0.05251800302268084
154.0	0.05264925773273884
155.0	0.053445996849933015
156.0	0.05349205113416389
157.0	0.05364403027212579
158.0	0.05385818269379937
159.0	0.054090756829165296
160.0	0.05419207625447322
161.0	0.05423582782449255
162.0	0.05434866082085821
163.0	0.05452366710093554
164.0	0.05458353767043568
165.0	0.0548207172342247
166.0	0.05502335608484056
167.0	0.05520757322176406
168.0	0.055428633786072275
169.0	0.05560133735193806
170.0	0.05573950020463069
171.0	0.05577404091780386
172.0	0.05416674639814624
173.0	0.05403779440229979
174.0	0.05415523282708853
175.0	0.054498337244608556
176.0	0.05488058780372484
177.0	0.05546777992766853
178.0	0.05467104081047435
179.0	0.055281260076533466
180.0	0.07274734737109366
181.0	0.08275264062025174
182.0	0.08292073875769444
183.0	0.08330989745944534
184.0	0.08371287244646551
185.0	0.0829875174698292
186.0	0.08362076387800377
187.0	0.09763738528367125
188.0	0.09801042498594137
189.0	0.09862985510884666
190.0	0.0992308635180596
191.0	0.11146978955241522
192.0	0.11237475623755197
193.0	0.11330965820743877
194.0	0.11371263319445894
195.0	0.1146659568780381
196.0	0.1301010502380166
197.0	0.13126852634326935
198.0	0.14403707664628004
199.0	0.15700596308569506
200.0	0.15754479821119632
201.0	0.15800073562508202
202.0	0.15862246846219888
203.0	0.16037022854876065
204.0	0.16115315138068556
205.0	0.16159296979509044
206.0	0.16242424962545776
207.0	0.1635917257307105
208.0	0.16503322482713695
209.0	0.16623293893135133
210.0	0.1675178534613928
211.0	0.16946134425593581
212.0	0.1725999437262701
213.0	0.17665962888122191
