#Insert size (bp)	insert size
1.0	689.0
2.0	68.0
3.0	97.0
4.0	18.0
5.0	538.0
6.0	12.0
7.0	63.0
8.0	13.0
9.0	14.0
10.0	10.0
11.0	9.0
12.0	7.0
13.0	13.0
14.0	7.0
15.0	8.0
16.0	4.0
17.0	9.0
18.0	4.0
19.0	2.0
20.0	4.0
21.0	5.0
22.0	9.0
23.0	4.0
24.0	5.0
25.0	2.0
26.0	5.0
27.0	2.0
29.0	1.0
30.0	8.0
31.0	5.0
32.0	1.0
33.0	4.0
34.0	3.0
35.0	7.0
36.0	4.0
37.0	5.0
38.0	4.0
39.0	3.0
40.0	5.0
41.0	6.0
42.0	2.0
43.0	3.0
44.0	2.0
45.0	11.0
46.0	8.0
47.0	49.0
48.0	12.0
49.0	11.0
50.0	8.0
51.0	9.0
52.0	8.0
53.0	8.0
54.0	4.0
55.0	16.0
56.0	12.0
57.0	15.0
58.0	18.0
59.0	9.0
60.0	13.0
61.0	15.0
62.0	16.0
63.0	16.0
64.0	15.0
65.0	10.0
66.0	15.0
67.0	18.0
68.0	22.0
69.0	19.0
70.0	11.0
71.0	14.0
72.0	12.0
73.0	8.0
74.0	15.0
75.0	11.0
76.0	6.0
77.0	10.0
78.0	7.0
79.0	5.0
80.0	8.0
81.0	5.0
82.0	5.0
83.0	10.0
84.0	4.0
85.0	5.0
86.0	5.0
87.0	5.0
88.0	8.0
89.0	6.0
90.0	9.0
91.0	16.0
92.0	6.0
93.0	10.0
94.0	10.0
95.0	36.0
96.0	10.0
97.0	20.0
98.0	18.0
99.0	195.0
100.0	73.0
101.0	36.0
102.0	24.0
103.0	49.0
104.0	72.0
105.0	43.0
106.0	20.0
107.0	18.0
108.0	22.0
109.0	23.0
110.0	18.0
111.0	21.0
112.0	23.0
113.0	28.0
114.0	247.0
115.0	23.0
116.0	23.0
117.0	27.0
118.0	38.0
119.0	21.0
120.0	29.0
121.0	18.0
122.0	30.0
123.0	20.0
124.0	14.0
125.0	16.0
126.0	27.0
127.0	14.0
128.0	32.0
129.0	8.0
130.0	19.0
131.0	41.0
132.0	66.0
133.0	8.0
134.0	17.0
135.0	24.0
136.0	64.0
137.0	28.0
138.0	22.0
139.0	15.0
140.0	23.0
141.0	23.0
142.0	17.0
143.0	34.0
144.0	28.0
145.0	10.0
146.0	7.0
147.0	11.0
148.0	15.0
149.0	28.0
150.0	28.0
151.0	23.0
152.0	13.0
153.0	23.0
154.0	9.0
155.0	36.0
156.0	32.0
157.0	18.0
158.0	25.0
159.0	20.0
160.0	31.0
161.0	36.0
162.0	22.0
163.0	17.0
164.0	27.0
165.0	20.0
166.0	17.0
167.0	24.0
168.0	21.0
169.0	139.0
170.0	28.0
171.0	36.0
172.0	21.0
173.0	31.0
174.0	41.0
175.0	34.0
176.0	33.0
177.0	41.0
178.0	12.0
179.0	29.0
180.0	4485.0
181.0	1910.0
182.0	14.0
183.0	21.0
184.0	26.0
185.0	48.0
186.0	30.0
187.0	2654.0
188.0	19.0
189.0	29.0
190.0	29.0
191.0	2028.0
192.0	17.0
193.0	26.0
194.0	29.0
195.0	26.0
196.0	5201.0
197.0	28.0
198.0	3480.0
199.0	2716.0
200.0	35.0
201.0	21.0
202.0	18.0
203.0	247.0
204.0	27.0
205.0	26.0
206.0	24.0
207.0	69.0
208.0	88.0
209.0	29.0
210.0	32.0
211.0	26.0
212.0	55.0
213.0	58.0
214.0	54.0
215.0	134.0
216.0	14990.0
217.0	12836.0
218.0	16798.0
219.0	17353.0
220.0	6176.0
221.0	11243.0
222.0	12588.0
223.0	14326.0
224.0	3277.0
225.0	7435.0
226.0	12998.0
227.0	14255.0
228.0	5210.0
229.0	19608.0
230.0	13901.0
231.0	12010.0
232.0	2982.0
233.0	10952.0
234.0	36201.0
235.0	18240.0
236.0	25541.0
237.0	9455.0
238.0	18419.0
239.0	16183.0
240.0	37593.0
241.0	333.0
242.0	3151.0
243.0	16.0
244.0	2526.0
245.0	2823.0
246.0	47.0
247.0	13.0
248.0	21.0
249.0	3045.0
250.0	5114.0
251.0	39.0
252.0	108.0
253.0	2805.0
254.0	33.0
255.0	187.0
256.0	2335.0
257.0	264.0
258.0	1309.0
259.0	30.0
260.0	27.0
261.0	48.0
262.0	28.0
263.0	3295.0
264.0	40.0
265.0	34.0
266.0	36.0
267.0	1511.0
268.0	35.0
269.0	74.0
270.0	13733.0
271.0	3919.0
272.0	5570.0
273.0	587.0
274.0	13183.0
275.0	12914.0
276.0	9479.0
277.0	4072.0
278.0	8155.0
279.0	9224.0
280.0	1178.0
281.0	3146.0
282.0	572.0
283.0	8648.0
284.0	8394.0
285.0	7126.0
286.0	9836.0
287.0	7098.0
288.0	1623.0
289.0	6341.0
290.0	3304.0
291.0	7556.0
292.0	1378.0
293.0	6568.0
294.0	4907.0
295.0	4853.0
296.0	11545.0
297.0	7104.0
298.0	7675.0
299.0	7484.0
300.0	17710.0
301.0	54.0
302.0	16.0
303.0	16.0
304.0	30.0
305.0	32.0
306.0	40.0
307.0	5821.0
308.0	750.0
309.0	40.0
310.0	696.0
311.0	78.0
312.0	39.0
313.0	93.0
314.0	82.0
315.0	9487.0
316.0	3395.0
317.0	2848.0
318.0	6165.0
319.0	422.0
