#Coverage	Number of genomic locations
0.0	3.209282243E9
1.0	9537.0
2.0	8380.0
3.0	1382.0
4.0	3500.0
5.0	473.0
6.0	2697.0
7.0	581.0
8.0	612.0
9.0	424.0
10.0	760.0
11.0	471.0
12.0	1209.0
13.0	267.0
14.0	1659.0
15.0	494.0
16.0	1086.0
17.0	152.0
18.0	504.0
19.0	172.0
20.0	659.0
21.0	380.0
22.0	919.0
23.0	349.0
24.0	806.0
25.0	841.0
26.0	408.0
27.0	518.0
28.0	665.0
29.0	532.0
30.0	829.0
31.0	616.0
32.0	594.0
33.0	509.0
34.0	1170.0
35.0	636.0
36.0	633.0
37.0	613.0
38.0	861.0
39.0	467.0
40.0	730.0
41.0	817.0
42.0	788.0
43.0	160.0
44.0	875.0
45.0	360.0
46.0	553.0
47.0	737.0
48.0	789.0
49.0	516.0
50.0	846.0
51.0	610.0
52.0	343.0
53.0	146.0
54.0	721.0
55.0	531.0
56.0	562.0
57.0	1190.0
58.0	923.0
59.0	812.0
60.0	644.0
61.0	623.0
62.0	481.0
63.0	457.0
64.0	546.0
65.0	241.0
66.0	748.0
67.0	1033.0
68.0	1075.0
69.0	803.0
70.0	629.0
71.0	591.0
72.0	1282.0
73.0	473.0
74.0	737.0
75.0	321.0
76.0	739.0
77.0	293.0
78.0	1072.0
79.0	884.0
80.0	994.0
81.0	723.0
82.0	506.0
83.0	214.0
84.0	783.0
85.0	710.0
86.0	535.0
87.0	407.0
88.0	710.0
89.0	227.0
90.0	543.0
91.0	231.0
92.0	465.0
93.0	728.0
94.0	638.0
95.0	808.0
96.0	590.0
97.0	419.0
98.0	387.0
99.0	833.0
100.0	511.0
101.0	375.0
102.0	398.0
103.0	267.0
104.0	484.0
105.0	336.0
106.0	235.0
107.0	536.0
108.0	438.0
109.0	457.0
110.0	479.0
111.0	433.0
112.0	382.0
113.0	502.0
114.0	644.0
115.0	701.0
116.0	1090.0
117.0	899.0
118.0	859.0
119.0	475.0
120.0	593.0
121.0	537.0
122.0	464.0
123.0	474.0
124.0	482.0
125.0	430.0
126.0	458.0
127.0	394.0
128.0	308.0
129.0	258.0
130.0	488.0
131.0	718.0
132.0	316.0
133.0	199.0
134.0	269.0
135.0	455.0
136.0	263.0
137.0	283.0
138.0	214.0
139.0	196.0
140.0	198.0
141.0	489.0
142.0	534.0
143.0	394.0
144.0	146.0
145.0	357.0
146.0	96.0
147.0	145.0
148.0	171.0
149.0	83.0
150.0	354.0
151.0	168.0
152.0	202.0
153.0	241.0
154.0	470.0
155.0	569.0
156.0	130.0
157.0	471.0
158.0	460.0
159.0	280.0
160.0	355.0
161.0	210.0
162.0	458.0
163.0	185.0
164.0	209.0
165.0	447.0
166.0	232.0
167.0	464.0
168.0	444.0
169.0	209.0
170.0	84.0
171.0	63.0
172.0	129.0
173.0	117.0
174.0	474.0
175.0	388.0
176.0	237.0
177.0	251.0
178.0	138.0
179.0	161.0
180.0	448.0
181.0	271.0
182.0	121.0
183.0	520.0
184.0	222.0
185.0	574.0
186.0	417.0
187.0	97.0
188.0	287.0
189.0	171.0
190.0	219.0
191.0	183.0
192.0	357.0
193.0	371.0
194.0	113.0
195.0	149.0
196.0	87.0
197.0	232.0
198.0	883.0
199.0	515.0
200.0	313.0
201.0	203.0
202.0	171.0
203.0	90.0
204.0	276.0
205.0	185.0
206.0	289.0
207.0	267.0
208.0	112.0
209.0	115.0
210.0	217.0
211.0	115.0
212.0	377.0
213.0	36.0
214.0	165.0
215.0	295.0
216.0	60.0
217.0	74.0
218.0	128.0
219.0	219.0
220.0	130.0
221.0	220.0
222.0	611.0
223.0	233.0
224.0	191.0
225.0	368.0
226.0	37.0
227.0	84.0
228.0	341.0
229.0	534.0
230.0	256.0
231.0	197.0
232.0	388.0
233.0	151.0
234.0	189.0
235.0	189.0
236.0	25.0
237.0	13.0
238.0	119.0
239.0	249.0
240.0	253.0
241.0	159.0
242.0	627.0
243.0	119.0
244.0	47.0
245.0	177.0
246.0	248.0
247.0	24.0
248.0	53.0
249.0	29.0
250.0	113.0
251.0	322.0
252.0	102.0
253.0	198.0
254.0	133.0
255.0	215.0
256.0	76.0
257.0	318.0
258.0	124.0
259.0	64.0
260.0	282.0
261.0	184.0
262.0	297.0
263.0	304.0
264.0	254.0
265.0	133.0
266.0	85.0
267.0	110.0
268.0	104.0
269.0	70.0
270.0	36.0
271.0	153.0
272.0	122.0
273.0	314.0
274.0	111.0
275.0	184.0
276.0	182.0
277.0	37.0
278.0	31.0
279.0	117.0
280.0	122.0
281.0	274.0
282.0	204.0
283.0	256.0
284.0	173.0
285.0	28.0
286.0	81.0
287.0	302.0
288.0	116.0
289.0	82.0
290.0	11.0
291.0	22.0
292.0	217.0
293.0	94.0
294.0	246.0
295.0	288.0
296.0	128.0
297.0	182.0
298.0	223.0
299.0	187.0
300.0	112.0
301.0	424.0
302.0	23.0
303.0	35.0
304.0	148.0
305.0	90.0
306.0	8.0
307.0	59.0
308.0	7.0
309.0	29.0
310.0	14.0
311.0	42.0
312.0	103.0
313.0	158.0
314.0	279.0
315.0	284.0
316.0	466.0
317.0	82.0
318.0	56.0
319.0	53.0
320.0	100.0
321.0	135.0
322.0	93.0
323.0	94.0
324.0	259.0
325.0	183.0
326.0	211.0
327.0	189.0
328.0	179.0
329.0	28.0
330.0	249.0
331.0	10.0
332.0	21.0
333.0	68.0
334.0	265.0
335.0	210.0
336.0	273.0
337.0	31.0
338.0	143.0
339.0	35.0
340.0	148.0
341.0	404.0
