#Duplication rate	Coverage
1.0	16497.0
2.0	4134.0
3.0	1437.0
4.0	855.0
5.0	483.0
6.0	376.0
7.0	312.0
8.0	212.0
9.0	162.0
10.0	173.0
11.0	115.0
12.0	118.0
13.0	106.0
14.0	85.0
15.0	80.0
16.0	79.0
17.0	60.0
18.0	52.0
19.0	37.0
20.0	43.0
21.0	55.0
22.0	42.0
23.0	48.0
24.0	41.0
25.0	31.0
26.0	33.0
27.0	31.0
28.0	38.0
29.0	27.0
30.0	26.0
31.0	22.0
32.0	31.0
33.0	22.0
34.0	31.0
35.0	21.0
36.0	15.0
37.0	10.0
38.0	16.0
39.0	12.0
40.0	13.0
41.0	21.0
42.0	15.0
43.0	16.0
44.0	19.0
45.0	23.0
46.0	10.0
47.0	6.0
48.0	13.0
49.0	11.0
50.0	1503.0
